TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
260.0;400.867093608735;260.0;415.238620701526;260.0;395.805907237572;260.0;513.678884418124;260.0;453.853277075136;260.0;406.292025599806;260.0;139.068386215811;260.0;114.309725139765;260.0;132.776567979167
265.0;407.853764048302;265.0;402.761147092026;265.0;385.198059252382;265.0;458.624732669348;265.0;406.233952623233;265.0;364.351459541317;265.0;133.093325529198;265.0;104.601580618249;265.0;123.624881021245
270.0;412.859914755405;270.0;406.692647675296;270.0;390.065397789554;270.0;421.243688074136;270.0;380.824642017484;270.0;335.542378043873;270.0;126.38691405813;270.0;99.5722629447563;270.0;114.267599679646
275.0;414.480687747521;275.0;406.935957162181;275.0;403.626148204549;275.0;382.164877265899;275.0;344.885066504391;275.0;317.826881834207;275.0;116.473849867184;275.0;98.9043437300049;275.0;110.28523736205
280.0;427.2766077763;280.0;409.411982734842;280.0;395.534449929283;280.0;344.661594289601;280.0;313.208248670307;280.0;302.752762422662;280.0;109.688723109901;280.0;98.0485389778515;280.0;104.976004983697
285.0;423.35526849361;285.0;426.311048807643;285.0;413.107320123955;285.0;325.077668889089;285.0;289.798747374636;285.0;270.895156277392;285.0;103.296880924061;285.0;90.0937426038339;285.0;98.9220529353562
290.0;419.095866072896;290.0;415.271992356064;290.0;421.319052929877;290.0;290.716967693119;290.0;276.641914236989;290.0;253.90422126574;290.0;97.6635217081348;290.0;88.9660521727849;290.0;94.6820725395181
295.0;429.951435725644;295.0;427.552249564573;295.0;432.012157575071;295.0;279.876571656454;295.0;265.421499438298;295.0;241.108709694578;295.0;94.6381544810964;295.0;87.7297528788913;295.0;96.2157516383306
300.0;421.370487412794;300.0;438.488158033148;300.0;427.087381119871;300.0;265.593376629989;300.0;242.424871429657;300.0;219.084988933865;300.0;93.5910248096612;300.0;85.4589123496311;300.0;89.5964178040394
305.0;430.63437730269;305.0;441.236682777162;305.0;434.352776459145;305.0;254.045967415634;305.0;234.723646092066;305.0;204.401199155154;305.0;92.4494384367736;305.0;79.9500916785769;305.0;85.9605843059331
310.0;440.992410630853;310.0;436.731754352656;310.0;441.512603177181;310.0;237.724997166626;310.0;217.340056134658;310.0;185.306437900861;310.0;91.741150535922;310.0;77.530694550544;310.0;84.9755893263275
315.0;438.425572924253;315.0;441.317411247613;315.0;449.872892908821;315.0;221.382938461428;315.0;206.784420646717;315.0;171.444394441467;315.0;92.5544820776028;315.0;75.2257448666999;315.0;84.234511997802
320.0;459.434326281055;320.0;441.591474737626;320.0;456.270298330864;320.0;212.779335306248;320.0;190.203377810574;320.0;161.718592768876;320.0;89.5316857778746;320.0;72.8624763532203;320.0;82.4301295438372
325.0;457.767683788134;325.0;453.092261340804;325.0;463.723857263121;325.0;196.009701922153;325.0;179.869262226843;325.0;146.846701710083;325.0;87.9699111268536;325.0;74.3367735132599;325.0;77.818604954558
330.0;457.341496410619;330.0;453.598929575612;330.0;452.146630600517;330.0;190.16797157233;330.0;170.867733136991;330.0;139.24608314423;330.0;84.7020007514782;330.0;72.4848221152875;330.0;77.2791949204024
335.0;466.488782181024;335.0;491.790175643613;335.0;463.02620598944;335.0;181.877503168594;335.0;161.025129231116;335.0;127.445189919515;335.0;78.0615226619342;335.0;71.6386745998038;335.0;74.338767628177
340.0;461.415764577376;340.0;479.981992047461;340.0;463.812619194659;340.0;160.360392860246;340.0;148.070164959127;340.0;117.247236372764;340.0;71.8945271022127;340.0;72.1974370435951;340.0;70.7534808480005
345.0;494.905675516928;345.0;481.782608107493;345.0;469.172708073053;345.0;149.561997004319;345.0;140.71453538972;345.0;111.183700407603;345.0;64.307754821795;345.0;65.5116748683989;345.0;65.715270515517
350.0;494.009392044765;350.0;494.031600209731;350.0;493.168035268285;350.0;138.487965105218;350.0;129.134668708128;350.0;102.294855275618;350.0;60.743522250067;350.0;61.8611844867371;350.0;63.9723052668186
355.0;513.101554163052;355.0;485.603281767995;355.0;508.921709534861;355.0;120.032209498896;355.0;121.996349507162;355.0;101.897054302502;355.0;55.7810270723205;355.0;60.1374695839884;355.0;59.9886641093462
360.0;526.095584052519;360.0;490.121895830408;360.0;524.653658569501;360.0;110.323230734677;360.0;113.110839810497;360.0;92.0927235243047;360.0;51.6795683816098;360.0;59.0852611147186;360.0;55.9619382679238
365.0;498.000416143693;365.0;501.281870429186;365.0;531.685621614292;365.0;103.917898700164;365.0;105.850114839886;365.0;88.0174641358068;365.0;49.234085448558;365.0;54.8193421607237;365.0;52.3275475490501
370.0;497.816591776582;370.0;522.402173279762;370.0;530.923776401488;370.0;98.2052215603307;370.0;96.0079553629939;370.0;84.8283552491983;370.0;43.8083493224972;370.0;52.468407502146;370.0;50.5284896129517
375.0;519.609206364321;375.0;508.929892217433;375.0;541.852671725368;375.0;91.4046709845424;375.0;92.987151781376;375.0;80.79118434686;375.0;39.7827580442934;375.0;49.3399806973726;375.0;43.3857749219705
380.0;531.046383923253;380.0;527.354184924007;380.0;546.009988739152;380.0;89.9131028492754;380.0;89.390673308446;380.0;77.9834984904623;380.0;38.6045244176355;380.0;43.3008951880327;380.0;42.7276433831763
385.0;524.780376819361;385.0;521.887857152981;385.0;551.776682299241;385.0;83.795453278124;385.0;84.3809360492797;385.0;70.0922796162781;385.0;36.580301645052;385.0;39.0407943131658;385.0;36.3071082503955
390.0;538.039990519728;390.0;546.375209767398;390.0;552.055959119877;390.0;79.4786622220982;390.0;79.2962726149072;390.0;69.357113983226;390.0;35.3014449619119;390.0;34.2158666944336;390.0;33.112429526333
395.0;566.322766909902;395.0;521.581082503531;395.0;546.909089189133;395.0;79.5721701421668;395.0;78.8210760207351;395.0;67.8447069879789;395.0;34.1664010873119;395.0;30.5238601147486;395.0;33.3228199564357
400.0;548.042957114823;400.0;506.393692171866;400.0;549.032976776308;400.0;72.4376187813272;400.0;75.8829315679324;400.0;66.206394982437;400.0;32.5125907686329;400.0;30.0945188621092;400.0;32.2502242711392
405.0;522.327727582313;405.0;456.753848817545;405.0;526.062389522263;405.0;75.4595260705822;405.0;70.3478428239971;405.0;61.6633289013944;405.0;31.5789357865381;405.0;27.8197865377703;405.0;32.4941693437585
410.0;510.658865312988;410.0;431.266377169405;410.0;502.282961463653;410.0;72.509163288608;410.0;70.1783099908544;410.0;60.9457868793702;410.0;30.5953295864193;410.0;27.6245832227066;410.0;30.4445737627584
415.0;481.22873305121;415.0;418.335946414398;415.0;471.813052637373;415.0;68.2978474596043;415.0;69.8944523495087;415.0;58.2072497123794;415.0;27.6557220266377;415.0;27.8779411099226;415.0;26.9495343965443
420.0;468.838280962956;420.0;400.345531074392;420.0;443.805514043703;420.0;66.2793349789343;420.0;67.4268735338132;420.0;58.1196776178085;420.0;26.5023929997661;420.0;27.530031945318;420.0;24.0069974275371
425.0;459.646519145188;425.0;380.833419214158;425.0;439.931456689744;425.0;66.0709618740293;425.0;66.0666157884937;425.0;54.5053924924821;425.0;25.2916518629415;425.0;27.4815637543441;425.0;21.7159446396363
430.0;438.494836036919;430.0;374.568129975675;430.0;405.420301231735;430.0;62.5945370637436;430.0;62.1397855071726;430.0;53.1039897690174;430.0;22.3243544863405;430.0;26.0123909334853;430.0;20.6839894543464
435.0;428.220215199328;435.0;373.594149967488;435.0;392.118221043181;435.0;63.2748587590014;435.0;60.2288714317658;435.0;53.0417110234877;435.0;21.4681070144266;435.0;22.6348681882453;435.0;19.108400998727
440.0;401.066945266919;440.0;345.872434839306;440.0;369.803783253799;440.0;59.919910654135;440.0;59.4981316434855;440.0;52.6568551073334;440.0;19.4373100565924;440.0;21.4079797134704;440.0;18.7779736961372
445.0;381.504781874466;445.0;333.381164213824;445.0;346.101576750435;445.0;57.4942188555947;445.0;56.6238647487173;445.0;53.9337468583271;445.0;18.7278174690097;445.0;21.6408686622559;445.0;17.9865714764987
450.0;360.797885704059;450.0;302.928020614921;450.0;336.923610451858;450.0;58.2964480633436;450.0;57.3453164086621;450.0;50.5732525064443;450.0;16.7522027959728;450.0;22.8076772626442;450.0;16.1971704570538
455.0;340.045384783798;455.0;291.656473734185;455.0;314.96689665093;455.0;53.6183524803379;455.0;57.3810286526405;455.0;50.5280685505727;455.0;16.7218584802349;455.0;19.5578674216883;455.0;16.2903421193743
460.0;309.674173583491;460.0;267.882942159677;460.0;293.0310130956;460.0;50.5077070070043;460.0;54.0489396876712;460.0;48.4839677578999;460.0;15.1194432809621;460.0;17.0502967895296;460.0;16.4478934246773
465.0;285.2935279117;465.0;261.975516423103;465.0;262.510578792095;465.0;49.6918842084659;465.0;54.561420702536;465.0;48.3988933902466;465.0;15.398626872113;465.0;15.153086997712;465.0;14.4108573074355
470.0;257.115664067053;470.0;229.27590439533;470.0;244.750478899171;470.0;50.5184122228918;470.0;53.3753669797673;470.0;49.0483386877337;470.0;15.5178843973262;470.0;12.2088440406114;470.0;13.7997587034692
475.0;239.33021207913;475.0;217.023644852883;475.0;222.117390361141;475.0;49.5208020247787;475.0;54.3963662020554;475.0;49.7582095356102;475.0;13.7738189164155;475.0;10.276225260386;475.0;12.7961052247247
480.0;224.092227261681;480.0;197.104461355535;480.0;213.554207346123;480.0;48.2978603954763;480.0;51.6242267951127;480.0;47.3738191867682;480.0;11.8990133315347;480.0;9.81083246264859;480.0;11.5809487285902
485.0;212.261267794411;485.0;188.519267930273;485.0;197.915552478726;485.0;45.4186200663497;485.0;53.3586159410717;485.0;46.9543924106012;485.0;11.5625080000192;485.0;11.1328678706891;485.0;11.5091248632301
490.0;202.061684756321;490.0;175.076785741125;490.0;183.65405910339;490.0;47.9954989891735;490.0;54.0195678928696;490.0;43.2669608946742;490.0;9.38631112617538;490.0;11.3031923575524;490.0;10.632015128194
