TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3;TIME_75_4;HRR_75_4
75.0;-2.00347894368403;75.0;0.585783575594855;75.0;-1.52793159090896;75.0;505.467736463503;75.0;515.946695732249;75.0;537.209406603407;75.0;858.219519151219;75.0;843.060227633035;75.0;729.967454510299;75.0;809.973663048073
80.0;-2.17301162010325;80.0;0.483662430841661;80.0;-0.628318985161799;80.0;507.726125345697;80.0;521.161904699973;80.0;533.800319153037;80.0;831.328299445651;80.0;829.590221131749;80.0;774.774490258614;80.0;852.037830622445
85.0;-0.274493617828934;85.0;4.08615178709459;85.0;-0.351517739743491;85.0;506.094779408078;85.0;519.308270939227;85.0;528.866156159003;85.0;813.487370345279;85.0;845.369515231834;85.0;799.884218890034;85.0;848.571355450199
90.0;37.1950115917456;90.0;79.2595901434035;90.0;59.9432231742866;90.0;526.408910590009;90.0;519.017093282599;90.0;556.24668868492;90.0;859.989575763321;90.0;869.104488895592;90.0;758.934297782739;90.0;799.146325253306
95.0;150.971979883593;95.0;181.618607990249;95.0;161.554640200276;95.0;517.576733515828;95.0;537.602088969497;95.0;534.822800538089;95.0;873.173385245482;95.0;836.030678007707;95.0;791.597124661115;95.0;863.481354142117
100.0;224.13987277494;100.0;227.819193657035;100.0;222.166262144082;100.0;524.228302008108;100.0;533.600575215168;100.0;541.224582073684;100.0;845.337571217162;100.0;865.796467829208;100.0;779.68306854083;100.0;833.688286699481
105.0;253.17411252101;105.0;260.069756991472;105.0;254.27095277394;105.0;517.002308278814;105.0;533.3846516776;105.0;527.794860783958;105.0;881.124800430828;105.0;883.977000751116;105.0;841.118452028275;105.0;824.026465910265
110.0;277.492341295732;110.0;263.722741421913;110.0;257.795621428549;110.0;539.63735433228;110.0;516.271169868792;110.0;563.860332044688;110.0;877.415379371584;110.0;860.807425062334;110.0;777.508447271413;110.0;820.231252590111
115.0;273.26119274381;115.0;273.236542975548;115.0;267.574438131804;115.0;530.049232287632;115.0;529.709247504454;115.0;561.490209418966;115.0;879.32577164574;115.0;854.414341480719;115.0;750.02740532684;115.0;845.480865095941
120.0;291.153797165684;120.0;296.001444829832;120.0;277.884272341858;120.0;534.672148499262;120.0;535.942256379289;120.0;546.217898322092;120.0;852.348117537015;120.0;819.270989751407;120.0;797.288634298872;120.0;858.834326896789
125.0;282.211065299373;125.0;294.718400042359;125.0;280.163022004028;125.0;525.824397553148;125.0;503.168502850198;125.0;520.729806573856;125.0;870.106729481171;125.0;883.969196400968;125.0;815.23174766568;125.0;831.613010327889
130.0;280.531727939944;130.0;289.492022577654;130.0;296.929190981359;130.0;534.235027318326;130.0;504.606081938319;130.0;566.020142330989;130.0;870.887121586594;130.0;924.293769909231;130.0;849.755296787223;130.0;868.910649446832
135.0;288.588090058296;135.0;301.01219012626;135.0;299.639850453907;135.0;529.502819708637;135.0;527.370872089561;135.0;549.499636790291;135.0;933.369209004843;135.0;874.907259835439;135.0;822.292495312095;135.0;826.216699508748
140.0;290.797895106676;140.0;299.669556983555;140.0;284.23559239245;140.0;520.718700605248;140.0;518.286498496439;140.0;541.773974466555;140.0;899.288732805455;140.0;889.30468579409;140.0;833.862786760442;140.0;821.245610610073
145.0;294.832358371875;145.0;301.790593000617;145.0;300.546633841485;145.0;537.189645275648;145.0;530.762929211565;145.0;560.325908488336;145.0;901.773575791797;145.0;855.218581716014;145.0;770.257949146457;145.0;879.489318665147
150.0;294.123576161997;150.0;305.76529074486;150.0;299.267639069423;150.0;525.907027226361;150.0;531.005747961472;150.0;565.752015227269;150.0;909.666062128879;150.0;895.6499416934;150.0;798.493796356989;150.0;816.008607044339
155.0;298.448597714223;155.0;310.187431406011;155.0;298.603908143086;155.0;518.133252383959;155.0;537.072103429369;155.0;552.269235920987;155.0;863.939074455962;155.0;854.047174124635;155.0;848.414115746809;155.0;853.927315894457
160.0;312.564696992279;160.0;308.093584912278;160.0;301.842431195905;160.0;525.795445201691;160.0;534.467112661612;160.0;544.031987127426;160.0;893.284878864619;160.0;884.777630623467;160.0;829.312261559282;160.0;893.155792636974
165.0;300.759215198864;165.0;308.27608838644;165.0;307.141335862381;165.0;537.571825095609;165.0;535.779573023129;165.0;563.7949106978;165.0;902.733432193775;165.0;892.154834417079;165.0;819.162672474465;165.0;889.613944170979
170.0;312.945359622109;170.0;312.729475092372;170.0;310.465924856291;170.0;547.142975707068;170.0;538.381970789248;170.0;556.716435554308;170.0;862.296195581155;170.0;886.824462415446;170.0;867.085890258697;170.0;851.751920116708
175.0;314.435378782051;175.0;309.965891864624;175.0;303.344069000267;175.0;524.162190131258;175.0;537.107986249518;175.0;561.217548858968;175.0;897.050596146764;175.0;904.57192122451;175.0;882.091733660733;175.0;869.469772468063
180.0;298.868121282055;180.0;308.69704022962;180.0;302.974726261244;180.0;516.847739089729;180.0;545.662670556829;180.0;561.356108407211;180.0;926.525407309549;180.0;903.98929700373;180.0;821.20014555752;180.0;849.064393478935
185.0;308.798318428715;185.0;308.685823369249;185.0;307.922587997603;185.0;528.963879948551;185.0;544.722436084583;185.0;555.195214335987;185.0;931.644174637485;185.0;909.993192520142;185.0;839.693283358823;185.0;853.277722709554
190.0;302.647933743224;190.0;306.962560760283;190.0;312.13495853838;190.0;526.456176795824;190.0;531.413733118682;190.0;560.734095846198;190.0;888.840975602357;190.0;914.001469841411;190.0;961.063826234615;190.0;872.956139770434
195.0;305.485736103356;195.0;313.143473387062;195.0;316.306135031642;195.0;540.274472762352;195.0;534.368273393831;195.0;562.274743400979;195.0;985.457294392278;195.0;881.113742555503;195.0;843.391172304396;195.0;860.874617512374
200.0;312.659586540853;200.0;317.877116235429;200.0;314.599716545219;200.0;540.668292330414;200.0;542.824914368345;200.0;569.819122155451;200.0;985.628436016069;200.0;921.241335127648;200.0;873.22840513522;200.0;862.081474261841
205.0;314.564351813447;205.0;317.301517569719;205.0;320.09112198899;205.0;533.703523693353;205.0;552.285654154707;205.0;556.981261383222;205.0;929.708749971427;205.0;934.885578207779;205.0;892.988595659032;205.0;824.209495920931
210.0;317.495008728126;210.0;300.6996177617;210.0;306.422755073791;210.0;525.531829235988;210.0;540.838045933772;210.0;550.560865758287;210.0;947.420914086348;210.0;920.62927374056;210.0;899.567434696628;210.0;964.553705534975
215.0;315.004144197834;215.0;300.566557261893;215.0;307.260281749039;215.0;537.315614223692;215.0;568.601214892377;215.0;558.924148120487;215.0;976.349008054071;215.0;886.996754294746;215.0;887.998166102679;215.0;907.079323471392
220.0;312.690343727922;220.0;296.849458360871;220.0;308.85619422931;220.0;532.582822492441;220.0;563.955140246467;220.0;579.634451918881;220.0;967.903171066629;220.0;928.134091645576;220.0;884.538266313251;220.0;890.251343583558
225.0;297.9192389109;225.0;304.413738595338;225.0;314.76354944706;225.0;539.924372780702;225.0;549.789005336975;225.0;576.604166792682;225.0;979.957978108552;225.0;920.44070032158;225.0;887.692917769489;225.0;876.594856469574
230.0;297.574642564401;230.0;312.185086653055;230.0;312.154966359512;230.0;543.321332171075;230.0;560.957955831078;230.0;582.113303763655;230.0;906.581362180514;230.0;951.742503768013;230.0;865.006835817809;230.0;866.279539630718
235.0;307.942482154539;235.0;308.391280335231;235.0;308.771183052339;235.0;563.78355960854;235.0;566.961655780253;235.0;588.431759693314;235.0;996.17005298638;235.0;944.491825696378;235.0;905.890441754891;235.0;924.56463850151
240.0;309.269764258438;240.0;312.024155663591;240.0;298.181651244833;240.0;580.675027503506;240.0;560.966609591848;240.0;591.835400987835;240.0;989.271228822783;240.0;922.322925864322;240.0;953.283278040972;240.0;974.583186235331
245.0;301.347354870656;245.0;310.878449796941;245.0;307.418923206815;245.0;554.646031437302;245.0;568.219429155789;245.0;618.594673601699;245.0;958.719903189414;245.0;994.934655917369;245.0;881.971949750357;245.0;903.389428453858
250.0;295.767979958391;250.0;307.376863120498;250.0;301.544516949119;250.0;578.722888285631;250.0;564.482393102613;250.0;599.214417834492;250.0;976.509226315738;250.0;932.944018437623;250.0;923.582203375918;250.0;945.245853128547
255.0;312.489036359825;255.0;306.817526657368;255.0;312.710668628636;255.0;559.224290721911;255.0;587.664667156613;255.0;579.650499787317;255.0;986.466473695474;255.0;999.02856083594;255.0;921.217665221155;255.0;975.7576804459
260.0;308.177312317421;260.0;300.806852798784;260.0;309.492531988224;260.0;569.62359552009;260.0;578.645549871881;260.0;597.938744147965;260.0;1000.86606843992;260.0;1094.53626378068;260.0;940.245661103012;260.0;946.931375092048
265.0;311.831429114347;265.0;306.645600044874;265.0;310.462478693004;265.0;571.582467165893;265.0;589.299410461944;265.0;608.906441205043;265.0;1042.40383401041;265.0;1087.76500363796;265.0;953.028402900518;265.0;992.849878800925
270.0;301.091705985387;270.0;301.082168789877;270.0;315.601479566837;270.0;599.005455522503;270.0;603.96763735367;270.0;606.559375819866;270.0;1048.47738295343;270.0;1080.37983643074;270.0;971.146712546152;270.0;936.998258235127
275.0;311.771638981421;275.0;307.340151787538;275.0;312.942517677438;275.0;584.988785471752;275.0;593.49991108286;275.0;596.289782126759;275.0;1156.89664173117;275.0;1123.05344361503;275.0;971.263180322396;275.0;1104.8663940463
280.0;309.211291692631;280.0;310.283377247677;280.0;312.054954307558;280.0;581.422763491487;280.0;590.521459543425;280.0;636.230437953468;280.0;1143.68402925018;280.0;1095.7781116782;280.0;988.283196358457;280.0;1030.05530203065
285.0;301.939623431471;285.0;310.39921945429;285.0;308.750367887356;285.0;573.059086653955;285.0;575.014039736452;285.0;604.336875804428;285.0;1105.49478718084;285.0;1141.43742458007;285.0;1126.86641207247;285.0;1070.96726338449
290.0;299.982270030546;290.0;308.501240805518;290.0;313.161528615313;290.0;600.65973688257;290.0;604.048554926965;290.0;600.21313385022;290.0;1146.13673048869;290.0;1172.92224707827;290.0;1031.40528946029;290.0;1089.11557165058
295.0;307.867296987654;295.0;314.52824488984;295.0;296.390481885544;295.0;575.644369155947;295.0;576.867716518446;295.0;610.013488253166;295.0;1186.13806624632;295.0;1270.11705492134;295.0;1030.83858439894;295.0;1149.2499340341
300.0;307.423176859757;300.0;309.671335716885;300.0;300.54547340619;300.0;601.380738232569;300.0;606.063100047407;300.0;618.548894891091;300.0;1185.10324543476;300.0;1249.71117536202;300.0;1117.4744132463;300.0;1282.24437423711
305.0;300.767596161691;305.0;300.528931299884;305.0;298.518501599644;305.0;596.700101706768;305.0;631.316824580955;305.0;634.993789149582;305.0;1291.63167237963;305.0;1287.71935542834;305.0;1022.83539756155;305.0;1263.93054776289
310.0;305.506122848889;310.0;315.397694931144;310.0;302.109438141335;310.0;598.501380228354;310.0;607.634527061333;310.0;634.904250815306;310.0;1291.9828031663;310.0;1194.26164240626;310.0;1248.74589910776;310.0;1119.58820343084
315.0;309.449399584327;315.0;308.727383895441;315.0;299.516063967236;315.0;598.012129506125;315.0;611.604904793784;315.0;626.846523479821;315.0;1003.43775478768;315.0;988.909298523389;315.0;1147.29550444014;315.0;1067.75585661772
320.0;302.087686559089;320.0;306.893984756934;320.0;317.365783407391;320.0;596.99445168794;320.0;625.048952760555;320.0;639.81378097794;320.0;785.363877212542;320.0;703.977593883952;320.0;844.975625715134;320.0;926.905884806665
325.0;308.869139935029;325.0;308.097317249798;325.0;308.187465466638;325.0;599.190253375034;325.0;616.399205063614;325.0;630.831749622981;325.0;553.051033100813;325.0;510.516465188671;325.0;675.943975935449;325.0;658.632885093243
330.0;305.830111851976;330.0;309.780794445504;330.0;307.153063755659;330.0;611.913767783458;330.0;643.595347762922;330.0;644.436768798067;330.0;436.843633265531;330.0;431.693346033088;330.0;502.445884537394;330.0;539.71889704286
335.0;308.264473274059;335.0;309.431573517318;335.0;304.780117281233;335.0;612.074561584726;335.0;652.288361254438;335.0;666.066784600979;335.0;384.240799386657;335.0;399.767409926434;335.0;404.927167604005;335.0;472.442777746443
340.0;316.814322886688;340.0;304.652350901839;340.0;300.01168662027;340.0;645.540629820878;340.0;653.48813193342;340.0;657.596927093487;340.0;375.120360487786;340.0;368.283626170105;340.0;383.99652258746;340.0;420.171129134338
345.0;305.156704886204;345.0;304.431525056237;345.0;309.464542661789;345.0;608.261665960096;345.0;647.728527225284;345.0;659.14648145012;345.0;368.054988981479;345.0;362.827634738966;345.0;370.530592550493;345.0;408.231195716419
350.0;308.86104679315;350.0;299.465619258192;350.0;304.338433970284;350.0;650.761561177563;350.0;622.580130903112;350.0;663.141587219161;350.0;364.219175733251;350.0;342.092282292267;350.0;367.247903364385;350.0;398.473513638248
355.0;311.63200653547;355.0;306.995014296602;355.0;304.620988852326;355.0;638.588970953278;355.0;644.249887659447;355.0;652.249815980312;355.0;371.23823959244;355.0;337.172997555037;355.0;390.420887484698;355.0;367.215156929938
360.0;310.30955473854;360.0;295.357794763902;360.0;312.044136340194;360.0;668.211463709703;360.0;651.073302286313;360.0;709.855356145273;360.0;352.433168276604;360.0;324.212912650034;360.0;388.055376904805;360.0;366.365910961482
365.0;318.46330881091;365.0;304.159236748232;365.0;296.842293413815;365.0;668.191827062372;365.0;684.909731015592;365.0;727.813835024907;365.0;360.338782237181;365.0;314.673196481614;365.0;361.902414909022;365.0;338.874585726468
370.0;313.2203289703;370.0;313.410484875916;370.0;314.553715553678;370.0;675.626421736749;370.0;672.518714908907;370.0;717.315497042717;370.0;345.14232582124;370.0;308.811230980509;370.0;364.88651813047;370.0;329.036374879055
375.0;303.117833481098;375.0;305.58633272183;375.0;314.506828933508;375.0;667.028607758579;375.0;655.670618692389;375.0;725.394640766318;375.0;347.276828547309;375.0;291.60752008285;375.0;354.300171781552;375.0;306.552147699562
380.0;312.118365984334;380.0;314.306532479798;380.0;308.717631803601;380.0;663.476000479155;380.0;679.989258356329;380.0;727.035615776111;380.0;336.160972791068;380.0;287.207593649134;380.0;354.348620865244;380.0;298.381750706538
385.0;328.933939504054;385.0;304.51017297903;385.0;305.600574517513;385.0;690.402725209199;385.0;687.122454561904;385.0;758.476973944204;385.0;321.978967814923;385.0;278.595822672842;385.0;326.266248101048;385.0;282.637915285288
