Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:23:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;127;105.64;5.76;;;1.80;1.63;30.05;;276.35;;14.53;0.0088;Distortion. Melting. End flame at 169s.
;2010-07-23;c_LSFIRE_IN8-3_35a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
425;3.163002589;0.40862042;0.06871025
427;3.172681738;0.40367223;0.123027369
429;3.164702573;0.39808958;0.168736675
431;3.184411279;0.38802399;0.169510033
433;3.162241418;0.3996698;0.169372486
435;3.168259977;0.39838003;0.111774722
437;3.156106498;0.40455476;0.057457603
439;3.185144861;0.41079271;0.011748297
441;3.152582458;0.3913172;0.010974939
443;3.164880706;0.37836006;0.009570253
445;3.197776338;0.37059953;0.009570253
447;3.152968408;0.36373678;0.050033514
449;3.203651388;0.36414997;0.117625006
451;3.18223565;0.36048597;0.216285902
453;3.136771017;0.36536089;0.275603569
455;3.181702181;0.37611859;0.30217059
457;3.155553487;0.39624419;0.290730838
459;3.238096816;0.42223843;0.223139346
461;3.166416088;0.38817201;0.12447845
463;3.179654801;0.35175812;0.05559053
465;3.193980806;0.39942732;0.029023509
467;3.185796489;0.32987193;0.006204011
469;3.179542045;0.33257307;0.024462406
471;3.173549912;0.34363239;0.0367879
473;3.17293219;0.34146976;0.088220597
475;3.176075205;0.38071719;0.123610984
477;3.141257312;0.36225103;0.139842571
479;3.16729572;0.35168783;0.121584176
481;3.093277022;0.35469616;0.109258682
483;3.134408056;0.37462168;0.057825985
485;3.264113159;0.36145292;0.022435598
487;3.194826589;0.37872936;5.32907E-16
489;3.159348825;0.36851575;0.034301397
491;3.192021491;0.32936874;0.091298287
493;3.215527964;0.33108136;0.124263538
495;3.123794989;0.31761694;0.168715793
497;3.155829847;0.36041679;0.168715793
499;3.11755174;0.3377537;0.134414397
501;3.150159372;0.34438252;0.077417507
503;3.170825015;0.37184578;0.044452256
505;3.168542013;0.34501699;0.013013592
507;3.218155654;0.31982605;0.013013592
509;3.158424888;0.33550107;0.045744051
511;3.183411814;0.32558908;0.124448533
513;3.203876819;0.32639277;0.199183205
515;3.187722321;0.33368246;0.229501
517;3.182137453;0.33878982;0.242493653
519;3.198005476;0.34310949;0.209763195
521;3.129181105;0.34748085;0.131058712
523;3.148469542;0.33269989;0.05632404
525;3.191365551;0.33006644;0.012992653
527;3.153745598;0.32383258;0.008981055
529;3.140377717;0.31118709;0.012483151
531;3.115323182;0.29526401;0.053958069
