Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:32:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;51;83.01;3.53;;;1.81;1.59;20.77;;419.79;;21.82;0.0088;Distortion. Melting. End flame at 176s.;2010-07-27;c_LSFIRE_IN8-3_50a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
465;0.924390118;0.41349796;0.164506467
467;0.932713298;0.40845442;0.125725784
469;0.92075873;0.41998668;0.080455452
471;0.911738929;0.36883672;0.165505603
473;0.931230202;0.39370843;0.240522852
475;0.935992079;0.38093807;0.323210183
477;0.909215523;0.32199277;0.295622343
479;0.918390127;0.43192746;0.275079072
481;0.92269311;0.42580388;0.188747171
483;0.937973487;0.42142118;0.106437935
485;0.937177081;0.42156416;0.042923599
487;0.95258454;0.420903;0.042923599
489;0.928063672;0.39232767;0.121470118
491;0.933109694;0.37267829;0.14796583
493;0.921201164;0.36767529;0.223329314
495;0.925945231;0.33561567;0.252320222
497;0.915894014;0.35825409;0.280006865
499;0.929087958;0.38840942;0.19538664
501;0.930930015;0.40291815;0.158785248
503;0.935162074;0.36105427;0.083421763
505;0.910901384;0.37731866;0.027686643
507;0.92555998;0.38133904;0.012594665
509;0.93814593;0.39349412;0.040849281
511;0.933354223;0.36160011;0.069242133
513;0.932315863;0.34808217;0.171344779
515;0.927581334;0.37787267;0.226021892
517;0.917350831;0.36243001;0.221086419
519;0.935173024;0.37247152;0.213197553
521;0.91852128;0.3652811;0.184804702
523;0.92451474;0.4010698;0.082702056
525;0.925135547;0.38273772;0.035637203
527;0.923556529;0.37344158;0.063290873
529;0.933239865;0.35156645;0.117665432
531;0.932616306;0.34259178;0.182479119
533;0.929447387;0.36969711;0.274485539
535;0.912791565;0.38119103;0.266873279
537;0.931633923;0.36204193;0.259270988
539;0.911395508;0.38871832;0.191276025
541;0.919226588;0.37538389;0.126462339
543;0.921625926;0.34291356;0.068281899
545;0.927841712;0.35085973;0.125716572
547;0.921303175;0.33066138;0.17761684
549;0.934550644;0.34114471;0.244217487
551;0.922176028;0.35355747;0.305933634
553;0.934726771;0.32605432;0.330983485
555;0.92820837;0.36239199;0.307941218
557;0.922723162;0.37607365;0.22833038
559;0.911305275;0.38308778;0.156459529
561;0.905681615;0.34758473;0.099366469
563;0.926503602;0.33730596;0.040490638
565;0.924289907;0.33706086;0.006098232
567;0.919178527;0.35318227;0.076609403
569;0.924567281;0.31522155;0.155037667
571;0.915858148;0.34231368;0.237872077
573;0.925794971;0.31874637;0.324737489
575;0.932505954;0.34791939;0.359684925
577;0.92853961;0.31792432;0.304090728
579;0.916092621;0.37185404;0.224187319
581;0.940160749;0.34113465;0.136729822
583;0.925983769;0.35127044;0.049864411
585;0.922666208;0.34031763;0.014916975
587;0.896662554;0.35281995;0.044222803
589;0.948345641;0.33080216;0.062367289
591;0.926532874;0.36132012;0.084121371
593;0.936695099;0.30336499;0.113085746
595;0.918856511;0.30818165;0.166148683
597;0.920617153;0.3033166;0.176642895
599;0.931739722;0.35323883;0.216329205
601;0.914762525;0.29548545;0.204666798
603;0.924062983;0.31508643;0.272875531
605;0.930851726;0.3476592;0.299319296
607;0.912954279;0.36774222;0.25994515
609;0.915201346;0.34962948;0.217888838
611;0.92759176;0.36283381;0.207797162
613;0.932544131;0.34889196;0.117740955
615;0.916913508;0.32702186;0.038234253
617;0.927281418;0.33126157;0.030204396
619;0.921204726;0.31167348;0.058575119
621;0.933168227;0.32528883;0.058575119
623;0.928205458;0.31812386;0.061949896
625;0.944593921;0.30906498;0.079884734
627;0.930558019;0.28413953;0.161923159
629;0.901907232;0.30772977;0.207094549
631;0.926559864;0.29002805;0.309154439
633;0.938277658;0.31647222;0.378242923
635;0.931329957;0.28912964;0.471746458
637;0.930806361;0.34160193;0.428551398
639;0.932522222;0.31286067;0.412036377
641;0.912235809;0.32374214;0.376190992
643;0.935082265;0.31820305;0.315207578
645;0.92209653;0.30867972;0.203769206
647;0.893642404;0.31650585;0.157612829
649;0.929525548;0.31308787;0.084811254
651;0.939423633;0.33775815;0.12146312
653;0.931684024;0.2863172;0.105888444
655;0.937266872;0.29396956;0.143919203
657;0.924778094;0.24862139;0.197146167
659;0.919444025;0.27697236;0.260963779
661;0.923851435;0.2734576;0.181561424
663;0.928157866;0.31156915;0.229488052
665;0.932571893;0.27392204;0.222683118
667;0.922149332;0.26561859;0.213438746
669;0.927464198;0.28735074;0.149621134
671;0.915606215;0.3028597;0.126157117
673;0.917812908;0.2220267;0.075208418
675;0.922121791;0.24311529;0.072234181
677;0.931737273;0.28069107;0.028251589
679;0.918238712;0.23512859;0.045107829
681;0.930314267;0.2492263;0.073831098
683;0.922897188;0.23162639;0.111375036
685;0.913823071;0.22542143;0.145063599
687;0.929285242;0.21891762;0.210007085
689;0.925619928;0.26595042;0.261277684
691;0.921151239;0.27126483;0.232554415
693;0.922238837;0.26010243;0.265655953
695;0.926522499;0.30183622;0.203715802
697;0.915232725;0.2912407;0.138772315
699;0.913704611;0.25606446;0.074551875
701;0.928391116;0.26914372;0.151026628
703;0.919408731;0.25427769;0.138431216
705;0.951994047;0.2274533;0.215822465
707;0.922186934;0.3859087;0.295475698
709;0.90906182;0.42033455;0.417686883
711;0.929286104;0.12164615;0.432879289
713;0.912554494;0.27097888;0.386130497
715;0.922282016;0.26066932;0.313158758
717;0.924167917;0.27786574;0.233505525
719;0.911446004;0.23039143;0.107387941
721;0.931337128;0.26389844;0.037362299
723;0.914605397;0.28883646;0.04345914
725;0.926193775;0.23645876;0.039965594
727;0.925586653;0.22663659;0.125478641
729;0.918913495;0.23127696;0.171878857
731;0.923219141;0.23155789;0.165130193
733;0.925741988;0.24872855;0.154389159
735;0.917722763;0.26110611;0.153463196
737;0.928715822;0.25142157;0.067950148
739;0.925743713;0.23906223;0.021549933
741;0.913428751;0.2312314;0.016416182
