Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:41:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;12;69.81;3.66;;;1.81;1.71;18.81;;410.23;;39.63;0.0088;Distortion. End flame at 95s.
;2010-07-28;c_LSFIRE_IN8-3_75b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
583;0.641879738;0.40877297;0.115705593
585;0.645526801;0.39003323;0.116802801
587;0.622428328;0.40673161;0.131119966
589;0.630076931;0.39160748;0.196147279
591;0.636576275;0.38776035;0.254837159
593;0.636471544;0.39978241;0.268193822
595;0.64142319;0.40631932;0.224106871
597;0.624531891;0.39768785;0.137073856
599;0.638065758;0.39989478;0.1605487
601;0.637391257;0.39609841;0.171305205
603;0.634664616;0.38973141;0.178855417
605;0.640264323;0.34621038;0.193558403
607;0.631145712;0.40281174;0.213218149
609;0.642827699;0.39442727;0.124715992
611;0.64430267;0.36567155;0.097077304
613;0.624764029;0.37870113;0.114700854
615;0.637337496;0.39616154;0.177588973
617;0.634115761;0.38306015;0.195491136
619;0.655730161;0.36423193;0.233593407
621;0.63464793;0.38373925;0.19178571
623;0.647184126;0.39991297;0.153255285
625;0.627918751;0.37970674;0.126145383
627;0.639647746;0.33835083;0.121259449
629;0.639759087;0.35487523;0.169994852
631;0.62788747;0.37260772;0.169994852
633;0.636135355;0.37755057;0.212105073
635;0.643002685;0.38870435;0.16162387
637;0.635650422;0.36666604;0.128947895
639;0.632224146;0.37930992;0.042110222
641;0.641813976;0.39586933;0.06535432
643;0.630740053;0.36433561;0.037649085
645;0.634395122;0.32894093;0.067890084
647;0.628487739;0.35649995;0.162893324
649;0.637333012;0.36172753;0.162893324
651;0.643302498;0.3668202;0.168322959
653;0.644373468;0.34625923;0.153917972
655;0.638921687;0.39081438;0.123676973
657;0.635036947;0.35093555;0.038820868
659;0.650143623;0.35096649;0.068504909
661;0.645960635;0.36280778;0.106488059
663;0.640129935;0.36924318;0.106488059
665;0.642801499;0.34862494;0.115646875
667;0.642068195;0.3493613;0.116303098
669;0.639617384;0.3622169;0.086619057
671;0.62498049;0.36653385;0.019962173
673;0.626905533;0.36212434;0.055104857
675;0.634056654;0.35613652;0.085554613
677;0.630113436;0.33534837;0.143061912
679;0.639945035;0.32027038;0.155448255
681;0.644945508;0.36295788;0.213470048
683;0.633948113;0.35320001;0.178327363
685;0.633496125;0.33563282;0.138718792
