Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Kevlar;Polyether Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:47:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;353;40;;;22.6;17.670;0.1379;5.344;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
205; 98.9; 0.047; 0.0073
210; 101.8; 0.051; 0.0077
215; 103.7; 0.047; 0.0077
220; 106.1; 0.047; 0.0077
225; 108.8; 0.053; 0.0065
230; 111.3; 0.047; 0.0078
235; 112.7; 0.050; 0.0085
240; 113.6; 0.053; 0.0081
245; 112.6; 0.049; 0.0068
250; 113.0; 0.046; 0.0072
255; 112.3; 0.049; 0.0058
260; 111.8; 0.051; 0.0055
265; 111.0; 0.051; 0.0058
270; 108.8; 0.044; 0.0038
275; 106.1; 0.043; 0.0042
280; 104.4; 0.047; 0.0038
285; 100.3; 0.041; 0.0033
290; 97.3; 0.040; 0.0025
295; 92.9; 0.037; 0.0021
300; 89.3; 0.039; 0.0024
305; 85.0; 0.034; 0.0016
310; 81.5; 0.031; 0.0014
315; 78.3; 0.034; 0.0011
320; 74.6; 0.030; 0.0007
325; 71.4; 0.029; 0.0009
330; 68.0; 0.029; 0.0001
335; 64.5; 0.027; 0.0000
340; 60.7; 0.025; 0.0003
345; 57.5; 0.024; 0.0000
350; 55.5; 0.022; 0.0004
355; 52.9; 0.024; 0.0000
360; 51.3; 0.022; 0.0000
365; 48.8; 0.022; 0.0000
370; 46.5; 0.019; 0.0000
375; 44.1; 0.018; 0.0000
380; 42.3; 0.020; 0.0000
385; 39.4; 0.016; 0.0000
390; 36.4; 0.017; 0.0000
395; 33.9; 0.017; 0.0000
400; 32.1; 0.014; 0.0000
405; 29.9; 0.016; 0.0000
410; 27.6; 0.015; 0.0000
415; 25.4; 0.014; 0.0000
420; 23.5; 0.013; 0.0000
425; 20.8; 0.012; 0.0000
430; 17.9; 0.012; 0.0000
435; 14.0; 0.012; 0.0003
440; 12.5; 0.011; 0.0008
445; 11.2; 0.019; 0.0000
450; 10.6; 0.010; 0.0000
455; 10.3; 0.001; 0.0000
460; 9.5; 0.012; 0.0004
465; 9.2; 0.011; 0.0009
470; 8.7; 0.006; 0.0003
475; 8.3; 0.019; 0.0005
480; 7.7; 0.010; 0.0003
485; 7.0; 0.000; 0.0006
490; 6.6; 0.008; 0.0008
495; 6.1; 0.006; 0.0002
500; 6.0; 0.005; 0.0008
505; 6.1; 0.007; 0.0010
510; 5.9; 0.008; 0.0000
515; 5.5; 0.006; 0.0008
520; 5.2; 0.005; 0.0001
525; 5.0; 0.005; 0.0003
530; 4.6; 0.007; 0.0003
535; 4.2; 0.006; 0.0003
540; 4.1; 0.004; 0.0001
545; 4.3; 0.005; 0.0000
550; 4.2; 0.007; 0.0007
555; 4.0; 0.007; 0.0000
560; 3.8; 0.005; 0.0005
565; 3.8; 0.005; 0.0002
570; 3.5; 0.007; 0.0000
575; 3.5; 0.005; 0.0000
580; 3.6; 0.003; 0.0001
585; 3.4; 0.004; 0.0002
590; 3.3; 0.006; 0.0000
595; 3.2; 0.005; 0.0006
600; 3.4; 0.004; 0.0004
605; 3.5; 0.004; 0.0003
610; 3.5; 0.005; 0.0005
615; 3.4; 0.005; 0.0008
620; 3.1; 0.008; 0.0004
625; 3.0; 0.004; 0.0000
630; 2.9; 0.003; 0.0001
635; 2.7; 0.008; 0.0000
640; 2.8; 0.004; 0.0005
645; 2.8; 0.003; 0.0000
650; 2.7; 0.003; 0.0004
655; 2.5; 0.007; 0.0003
660; 2.5; 0.006; 0.0007
665; 2.8; 0.000; 0.0003
670; 2.8; 0.001; 0.0009
675; 2.6; 0.002; 0.0012
680; 2.4; 0.005; 0.0004
685; 2.4; 0.006; 0.0008
690; 2.3; 0.003; 0.0004
695; 2.1; 0.002; 0.0000
700; 1.4; 0.003; 0.0001
705; 1.6; 0.003; 0.0000
710; 1.4; 0.003; 0.0000
715; 1.4; 0.005; 0.0000
720; 0.9; 0.003; 0.0000
725; 1.0; 0.004; 0.0000
730; 1.1; 0.003; 0.0000
735; 1.6; 0.006; 0.0000
740; 1.2; 0.007; 0.0005
745; 1.1; 0.001; 0.0001
