Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:49:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;12;106.2;3.2;;;3.0;2.7;10.5;;207;;61.4;0.00884;Retracting;;C_LNE_IN8-2_1c;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
542;1.7;0.00;0.0
544;1.6;0.00;0.0
546;1.8;0.00;0.0
548;1.7;0.00;0.0
550;0.8;0.00;0.0
552;0.8;0.00;0.0
554;0.8;0.00;0.0
556;0.0;0.00;0.0
558;0.0;0.00;0.0
560;0.0;0.00;0.0
562;0.0;0.00;0.0
564;0.6;0.00;0.0
566;0.4;0.00;0.0
568;0.4;0.00;0.0
570;0.9;0.00;0.0
572;0.5;0.00;0.0
574;0.0;0.00;0.0
576;0.1;0.00;0.0
578;0.1;0.00;0.0
580;1.1;0.00;0.0
582;0.6;0.00;0.0
584;0.6;0.00;0.0
586;0.3;0.00;0.0
588;0.8;0.00;0.0
590;1.7;0.00;0.0
592;2.2;0.00;0.0
594;2.9;0.00;0.0
596;2.4;0.00;0.0
598;2.8;0.00;0.0
600;2.4;0.00;0.0
602;1.5;0.00;0.0
604;1.9;0.00;0.0
606;1.7;0.00;0.0
608;1.2;0.00;0.0
610;1.9;0.00;0.0
612;1.9;0.00;0.0
614;1.5;0.00;0.0
616;2.3;0.00;0.0
618;3.3;0.00;0.0
620;3.1;0.00;0.0
622;3.5;0.00;0.0
624;3.7;0.00;0.0
626;2.6;0.00;0.0
628;2.7;0.00;0.0
630;3.5;0.00;0.0
632;3.6;0.00;0.0
634;2.5;0.00;0.0
636;2.5;0.00;0.0
638;2.4;0.00;0.0
640;3.0;0.00;0.0
642;2.6;0.00;0.0
644;2.4;0.00;0.0
646;2.8;0.00;0.0
648;2.6;0.00;0.0
650;1.4;0.00;0.0
652;1.3;0.00;0.0
654;0.0;0.00;0.0
656;0.0;0.00;0.0
658;0.0;0.00;0.0
660;0.0;0.00;0.0
662;0.0;0.00;0.0
664;0.0;0.00;0.0
666;0.0;0.00;0.0
668;0.0;0.00;0.0
670;0.0;0.00;0.0
672;0.0;0.00;0.0
674;0.1;0.00;0.0
676;1.7;0.00;0.0
678;1.7;0.00;0.0
680;1.7;0.00;0.0
682;1.3;0.00;0.0
684;1.4;0.00;0.0
686;1.9;0.00;0.0
688;2.1;0.00;0.0
690;1.4;0.00;0.0
692;2.1;0.00;0.0
694;1.6;0.00;0.0
696;0.9;0.00;0.0
698;0.7;0.00;0.0
700;1.6;0.00;0.0
702;1.5;0.00;0.0
704;3.0;0.00;0.0
706;4.0;0.00;0.0
708;3.9;0.00;0.0
710;4.5;0.00;0.0
712;4.1;0.00;0.0
714;3.0;0.00;0.0
716;2.7;0.00;0.0
718;1.8;0.00;0.0
720;1.6;0.00;0.0
722;2.2;0.00;0.0
724;1.8;0.00;0.0
726;1.5;0.00;0.0
728;1.6;0.00;0.0
730;0.4;0.00;0.0
732;0.5;0.00;0.0
734;1.0;0.00;0.0
736;0.0;0.00;0.0
738;0.0;0.00;0.0
740;0.0;0.00;0.0
742;0.0;0.00;0.0
744;0.3;0.00;0.0
746;0.6;0.00;0.0
748;0.4;0.00;0.0
750;0.4;0.00;0.0
752;1.0;0.00;0.0
754;1.6;0.00;0.0
756;1.8;0.00;0.0
758;1.8;0.00;0.0
760;1.5;0.00;0.0
762;0.6;0.00;0.0
764;0.6;0.00;0.0
766;1.0;0.00;0.0
768;2.2;0.00;0.0
770;2.9;0.00;0.0
772;2.0;0.00;0.0
774;2.0;0.00;0.0
776;1.2;0.00;0.0
778;0.1;0.00;0.0
780;0.2;0.00;0.0
782;0.0;0.00;0.0
784;0.0;0.00;0.0
786;0.6;0.00;0.0
788;0.3;0.00;0.0
790;0.0;0.00;0.0
792;0.0;0.00;0.0
794;0.0;0.00;0.0
796;0.0;0.00;0.0
798;0.0;0.00;0.0
800;0.0;0.00;0.0
802;0.0;0.00;0.0
