Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:36:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;33;46.94;4.05;;;1.81;1.62;22.31;;318.55;;22.01;0.0088;Distortion. Melting. End flame at 135s.
;2010-07-27;c_LSFIRE_IN8-3_50c;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
495;1.249825774;0.41128547;0.172200052
497;1.232249022;0.43835529;0.144458909
499;1.217943923;0.38713246;0.138067349
501;1.236310513;0.34028288;0.171564068
503;1.230170782;0.35623604;0.182192643
505;1.214185746;0.39969635;0.220171651
507;1.235443836;0.39968274;0.240383065
509;1.227862085;0.38720667;0.196057478
511;1.221279005;0.41385191;0.120072283
513;1.20166465;0.44692486;0.062709197
515;1.246930828;0.40792825;0.02473019
517;1.22150004;0.39829831;0.022825219
519;1.22467783;0.40537499;0.088779012
521;1.229099149;0.37167108;0.153334024
523;1.200362767;0.38103318;0.219079704
525;1.214609232;0.3973499;0.219079704
527;1.249611478;0.41488243;0.200773261
529;1.184773012;0.40116947;0.142920457
531;1.227579658;0.39980349;0.073846669
533;1.215285953;0.38808747;0.008100989
535;1.230663425;0.37809441;0.045794367
537;1.236925829;0.40523185;0.094579946
539;1.234067234;0.34734332;0.141576887
541;1.229626477;0.37688474;0.145810755
543;1.219375727;0.36481921;0.165628156
545;1.231968307;0.40736799;0.127934778
547;1.250635534;0.37622173;0.079149199
549;1.19893063;0.39976441;0.024051269
551;1.22415791;0.37764479;0.019896202
553;1.218003325;0.34403001;0.024297567
555;1.221599495;0.35962663;0.084790859
557;1.195064332;0.37990562;0.084790859
559;1.251958163;0.37927466;0.107860212
561;1.24509712;0.37927466;0.107781411
563;1.241192698;0.37254486;0.083562645
565;1.241447758;0.36488727;0.023069353
567;1.24517874;0.38076534;0.023069353
569;1.234111066;0.36129909;0.062200772
571;1.236090385;0.35206872;0.081397589
573;1.22018445;0.33393684;0.110550589
575;1.225532764;0.35516468;0.14021533
577;1.222208767;0.34158301;0.14021533
579;1.228875249;0.37695982;0.115621708
581;1.252057577;0.35997614;0.096424891
583;1.209098255;0.357786;0.067271892
585;1.225667978;0.35581365;0.03760715
587;1.241405194;0.40044542;0.03760715
589;1.217230703;0.35131965;0.015254933
591;1.246557023;0.30128145;0.015254933
593;1.253185175;0.28512896;0.064035164
595;1.226438115;0.33020596;0.160875211
597;1.21925939;0.28323827;0.23688646
599;1.232225898;0.35326697;0.225740751
601;1.219976603;0.30992653;0.225740751
603;1.224410885;0.32750254;0.17696052
605;1.232140902;0.31331493;0.080120473
607;1.237751587;0.35169418;0.004109224
609;1.227525825;0.37787662;9.44383E-16
611;1.220589017;0.34113383;9.44383E-16
613;1.211201456;0.33866224;0.060331019
615;1.231107432;0.32439296;0.081885244
617;1.226948486;0.30548259;0.126999358
619;1.225892064;0.27955437;0.188255669
621;1.215708698;0.33038467;0.188255669
623;1.230068663;0.32949289;0.138255655
625;1.228454788;0.31978128;0.12998709
627;1.228541136;0.34889108;0.084872976
629;1.226023166;0.35269309;0.023616664
631;1.243179793;0.33199654;0.025137396
633;1.197023802;0.31174214;0.017830294
635;1.2225839;0.29924148;0.045065985
637;1.230553071;0.29074613;0.054161154
639;1.215374979;0.29733718;0.148030082
641;1.236427763;0.34781753;0.148488983
643;1.227379889;0.32637893;0.14546508
645;1.236774663;0.35948349;0.104943729
647;1.238926879;0.36952002;0.09584856
649;1.206628588;0.32902527;0.001979632
651;1.201820352;0.3268786;0.012562425
653;1.222430764;0.29461576;0.054917823
655;1.237790618;0.27094837;0.107350098
657;1.209879248;0.29170157;0.154189127
659;1.220870257;0.38398206;0.195947858
661;1.232491906;0.32051894;0.183385432
663;1.233152649;0.30811796;0.141030034
665;1.216652929;0.31460232;0.098323167
667;1.229653882;0.3272527;0.118682501
669;1.197699996;0.29110266;0.15463048
671;1.241757315;0.26726009;0.196651763
673;1.240703921;0.26726009;0.223465342
675;1.229410276;0.27944373;0.257625664
677;1.239125601;0.29385571;0.191913967
679;1.238766021;0.33309468;0.114207258
681;1.237864746;0.29358128;0.072185975
683;1.221217347;0.3046839;0.045372396
685;1.223738819;0.30118178;0.033713778
687;1.221799068;0.27109107;0.060109934
689;1.239620746;0.27109107;0.094412098
691;1.261242402;0.26763462;0.13671876
693;1.217432956;0.26763462;0.170587779
695;1.192714789;0.30789315;0.138360667
697;1.243480632;0.3079432;0.110477844
699;1.2415369;0.30810435;0.076175681
701;1.220927474;0.31322228;0.033869018
703;1.202399809;0.28331335;0.041142153
705;1.236576561;0.26531979;0.108155166
707;1.196799459;0.28524268;0.148282628
709;1.227637011;0.26472746;0.157647681
