Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric: 100% Acrylic Pile- FR Treated Backcoated- Cellulosic Ground; Interliner: Kevlar;HR Urethane Foam;;;;;;ISO 5660;CBUF - Fire Safety of Upholstered Furniture, EC Report EUR 16477 EN, contact SP for more information.;;;1;2005-11-02 13:46:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
 ;;335;18;;;23.6;7.320;0.137;12.0405;;;;
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SPR (m2/s)
165; 7.4; 0.030; 0.0330
170; 7.4; 0.030; 0.0338
175; 7.4; 0.034; 0.0385
180; 7.3; 0.032; 0.0385
185; 7.2; 0.033; 0.0414
190; 7.2; 0.034; 0.0464
195; 7.3; 0.029; 0.0430
200; 7.3; 0.032; 0.0403
205; 7.2; 0.040; 0.0383
210; 7.3; 0.031; 0.0381
215; 7.3; 0.023; 0.0327
220; 7.0; 0.028; 0.0323
225; 7.6; 0.028; 0.0302
230; 7.5; 0.026; 0.0276
235; 7.3; 0.033; 0.0258
240; 7.4; 0.027; 0.0232
245; 7.3; 0.020; 0.0226
250; 7.3; 0.027; 0.0216
255; 7.4; 0.028; 0.0207
260; 7.1; 0.026; 0.0192
265; 7.3; 0.025; 0.0186
270; 7.1; 0.027; 0.0186
275; 7.1; 0.028; 0.0180
280; 7.2; 0.027; 0.0177
285; 7.1; 0.025; 0.0173
290; 6.7; 0.028; 0.0171
295; 6.8; 0.027; 0.0170
300; 6.6; 0.024; 0.0187
305; 6.6; 0.029; 0.0173
310; 6.9; 0.028; 0.0172
315; 7.3; 0.025; 0.0170
320; 6.8; 0.030; 0.0165
325; 7.2; 0.027; 0.0168
330; 6.5; 0.025; 0.0165
335; 6.6; 0.026; 0.0145
340; 6.5; 0.027; 0.0152
345; 6.2; 0.027; 0.0144
350; 6.6; 0.027; 0.0145
355; 6.6; 0.028; 0.0142
360; 6.2; 0.029; 0.0129
365; 6.3; 0.027; 0.0146
370; 6.3; 0.025; 0.0123
375; 6.0; 0.026; 0.0117
380; 6.3; 0.033; 0.0109
385; 6.2; 0.028; 0.0106
390; 6.4; 0.022; 0.0110
395; 6.5; 0.026; 0.0114
400; 6.6; 0.025; 0.0090
405; 6.8; 0.027; 0.0110
410; 6.9; 0.026; 0.0100
415; 6.7; 0.032; 0.0097
420; 6.7; 0.025; 0.0086
425; 6.5; 0.022; 0.0097
430; 6.7; 0.031; 0.0090
435; 7.0; 0.028; 0.0096
440; 6.9; 0.023; 0.0095
445; 6.8; 0.027; 0.0084
450; 7.0; 0.030; 0.0076
455; 7.2; 0.025; 0.0078
460; 7.5; 0.024; 0.0096
465; 7.2; 0.028; 0.0096
470; 7.2; 0.027; 0.0088
475; 7.1; 0.024; 0.0082
480; 6.9; 0.027; 0.0093
485; 6.8; 0.025; 0.0086
490; 7.2; 0.026; 0.0090
495; 7.2; 0.027; 0.0093
500; 6.8; 0.024; 0.0097
505; 6.5; 0.024; 0.0096
510; 6.5; 0.026; 0.0110
515; 6.4; 0.024; 0.0095
520; 6.5; 0.022; 0.0095
525; 6.4; 0.024; 0.0090
530; 6.4; 0.022; 0.0084
535; 6.2; 0.023; 0.0087
540; 6.0; 0.023; 0.0083
545; 5.7; 0.021; 0.0076
550; 6.1; 0.020; 0.0086
555; 5.6; 0.028; 0.0078
560; 5.5; 0.019; 0.0073
565; 5.3; 0.011; 0.0072
570; 5.5; 0.020; 0.0074
575; 5.1; 0.018; 0.0066
580; 5.1; 0.017; 0.0065
585; 5.0; 0.020; 0.0055
590; 5.0; 0.023; 0.0055
595; 4.8; 0.016; 0.0054
600; 4.8; 0.011; 0.0056
605; 4.7; 0.015; 0.0050
610; 4.5; 0.015; 0.0047
615; 4.2; 0.014; 0.0042
620; 4.2; 0.014; 0.0035
625; 3.8; 0.014; 0.0029
630; 3.5; 0.014; 0.0024
635; 3.5; 0.011; 0.0030
640; 3.3; 0.011; 0.0022
645; 3.1; 0.014; 0.0022
650; 3.1; 0.013; 0.0023
655; 3.1; 0.011; 0.0021
660; 2.9; 0.010; 0.0021
665; 3.0; 0.011; 0.0024
670; 3.0; 0.014; 0.0018
675; 2.9; 0.009; 0.0019
680; 2.8; 0.008; 0.0020
685; 2.7; 0.011; 0.0024
690; 2.5; 0.009; 0.0019
695; 2.4; 0.009; 0.0016
700; 2.2; 0.010; 0.0017
705; 2.0; 0.008; 0.0017
710; 1.9; 0.009; 0.0021
715; 1.7; 0.009; 0.0012
720; 1.6; 0.004; 0.0015
725; 1.6; 0.005; 0.0019
730; 1.7; 0.011; 0.0015
735; 1.2; 0.010; 0.0011
740; 1.1; 0.013; 0.0014
745; 1.1; 0.008; 0.0015
750; 1.0; 0.004; 0.0015
755; 1.3; 0.006; 0.0014
760; 1.1; 0.010; 0.0013
