Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:57
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;35;64.56;36.8;;;;;15.66;;694.55;;35.38;;;2011-06-18;c_EW_in16-2_3;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
762;51.21462729;0.512169308
764;50.54872098;0.482644883
766;50.63048178;0.444883013
768;49.53643431;0.454680263
770;49.29321693;0.394580327
772;49.20749588;0.404285731
774;48.24957579;0.364896455
776;48.43738742;0.393123867
778;48.75340386;0.443117489
780;48.06502968;0.434019067
782;48.12757782;0.483932971
784;47.9797054;0.463270178
786;47.70619578;0.414637257
788;47.93068678;0.462975336
790;47.23952383;0.424448247
792;47.09697952;0.454060915
794;47.3249224;0.444124718
796;46.47681134;0.433468424
798;46.46381127;0.394603561
800;45.52293136;0.384814787
802;45.16483886;0.365135238
804;44.94602992;0.38402329
806;45.01740012;0.404648867
808;44.1926575;0.404510184
810;44.72874597;0.404293072
812;44.52799555;0.404272271
814;44.58661034;0.382606841
816;44.28668979;0.442800815
818;42.74089572;0.502999427
820;42.27549164;0.423807736
822;42.02599194;0.472438178
824;41.59423793;0.441931087
826;41.63201601;0.422934915
828;41.21353403;0.47225481
830;40.5753462;0.472301225
832;40.82785057;0.464004218
834;41.03531532;0.473689316
836;41.19429551;0.483607194
838;39.47574947;0.482827848
840;39.43387808;0.50187046
842;39.38937259;0.462847563
844;38.58096225;0.490604943
846;38.73469407;0.503000428
848;37.85062193;0.502141277
850;37.55253107;0.492369073
852;37.96758154;0.423145493
854;37.46683244;0.433941264
856;36.6737935;0.414197475
858;36.8831187;0.43322182
860;35.86666723;0.461717176
862;35.51141346;0.531186126
864;35.28149731;0.443565867
866;34.54181617;0.453177219
868;34.8372043;0.422877831
870;33.730387;0.383616627
872;33.88517051;0.403228835
874;33.45630771;0.434171526
876;33.23357958;0.363728851
878;33.57537216;0.432437821
880;32.95108214;0.461943951
882;32.51046876;0.482425881
884;32.36369376;0.412679226
886;31.71644834;0.452645161
888;31.64178771;0.480587703
890;31.56630141;0.5117626
892;31.28453891;0.46174176
894;31.01375404;0.472759059
896;30.31727194;0.511661305
898;30.18851838;0.500866443
900;30.59847408;0.520175741
902;29.57003336;0.491548496
904;29.34777745;0.53167249
906;29.14034515;0.471813898
908;28.28173271;0.462931687
910;28.28661532;0.492241229
912;27.63221677;0.453106126
914;26.805731;0.483359526
916;27.47373878;0.482583693
918;27.13169313;0.42345067
920;27.15422069;0.4529054
922;27.18265917;0.384448794
924;26.39458462;0.403456547
926;26.5825827;0.364680012
928;25.88690408;0.364025814
930;24.88574587;0.373716986
932;25.01856816;0.364041535
934;24.47027702;0.39414952
936;23.77791901;0.354717396
938;24.2934652;0.412974571
940;24.09765102;0.433435608
942;24.13059573;0.49154033
944;23.62283239;0.451510816
946;23.8907291;0.461283247
948;23.17447515;0.460268181
950;23.21419146;0.499439941
952;22.37362728;0.480745853
954;22.18057771;0.472376277
956;21.75773801;0.453503614
958;20.80877027;0.520622912
960;20.91235687;0.51084314
962;21.09564507;0.548830577
964;20.47414258;0.587142433
966;21.2631205;0.626285262
968;20.49303322;0.607813914
970;19.7581721;0.666241475
972;19.82170896;0.687307443
974;19.62278315;0.647650686
976;19.91206831;0.617065345
978;20.26704557;0.540570209
980;19.34795738;0.521016898
982;19.47709826;0.54968121
984;19.73232246;0.569312681
986;18.61106222;0.539785898
988;18.27526028;0.492282381
990;18.63971497;0.43264612
992;18.50369625;0.471771955
994;18.15755504;0.461341923
996;18.82051799;0.491619523
998;18.01110599;0.491356662
1000;17.9527556;0.569946118
1002;18.07968035;0.569175427
1004;17.35131785;0.579944549
1006;18.09823805;0.567756781
1008;17.09543999;0.56974717
1010;17.02205841;0.599337682
1012;17.76087182;0.560113752
1014;17.29468118;0.531479437
1016;17.20253189;0.540516071
1018;17.65019171;0.472453268
1020;17.03204955;0.451954898
1022;17.36200055;0.453592618
1024;16.44962975;0.463228994
1026;15.45498564;0.412736768
1028;16.14481772;0.462650888
1030;15.304486;0.452561489
1032;15.7830425;0.49099255
1034;15.96325435;0.559808193
1036;15.6118007;0.589243262
1038;15.76780295;0.500784039
1040;15.85972422;0.540195107
1042;14.96035804;0.579345104
