Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
EPDM rubber and epoxy adhesive;Aluminium plate;;;IN16-2;Floor composite for passenger trains;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 12:40:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;23;50.53;30;;;;;12.25;;609.45;;29.24;0.00943;;2011-06-18;c_EW_in16-2_2;6;3;3;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
704;49.6647445;0.602352277
706;49.51632862;0.650635314
708;50.03111647;0.680410244
710;50.04429552;0.592709569
712;50.07808696;0.660750621
714;49.86710521;0.632007244
716;50.52690078;0.620937636
718;49.41291998;0.690305309
720;49.19200671;0.611259875
722;49.90728168;0.612917021
724;49.55125335;0.623383425
726;49.64521005;0.6036827
728;49.00797028;0.594831985
730;49.57523943;0.633123899
732;49.21063955;0.602499355
734;49.00222042;0.632098126
736;48.96792814;0.632938368
738;48.03576258;0.593582736
740;48.12969088;0.611291901
742;47.48246083;0.603595852
744;47.45607995;0.633155409
746;46.38297251;0.602471891
748;46.12551559;0.582374042
750;46.445274;0.631947422
752;46.2811831;0.612348479
754;46.4137387;0.612107705
756;45.90421636;0.611748856
758;45.42902134;0.572451939
760;44.68851446;0.631609028
762;45.03117395;0.572395681
764;44.68568266;0.62039588
766;44.98595083;0.642360558
768;44.92045092;0.611783064
770;43.87008933;0.660827926
772;44.08388319;0.652563855
774;43.31558722;0.61376328
776;42.63712311;0.562971324
778;43.07108905;0.553311386
780;41.7313156;0.572876081
782;41.84644052;0.562971324
784;41.6079581;0.514844773
786;41.37985317;0.572907069
788;40.63775862;0.593386874
790;40.06205899;0.563304241
792;40.29004879;0.543007861
794;39.59259922;0.543726016
796;39.2036634;0.543726016
798;38.72455789;0.484340391
800;38.52386518;0.553395117
802;38.84170467;0.5032464
804;38.38344101;0.484125546
806;38.2278961;0.552666727
808;38.22252049;0.493138195
810;37.98149923;0.54271731
812;37.89707477;0.552989408
814;37.46158378;0.57218162
816;37.10422668;0.612450269
818;37.29563568;0.602512349
820;36.49638033;0.522420919
822;36.84870316;0.4532665
824;36.07749942;0.46330161
826;35.80406345;0.444368345
828;35.10030111;0.414845772
830;34.64767162;0.522242367
832;35.13593935;0.551669671
834;34.8950653;0.513291517
836;34.29701324;0.513241452
838;34.00105293;0.453887414
840;33.3637915;0.513992265
842;33.45530486;0.522777495
844;33.16919561;0.522649973
846;33.64107011;0.503077954
848;33.35763745;0.523697029
850;32.72113878;0.464410573
852;32.30019088;0.513789148
854;32.44305796;0.414923185
856;32.59289028;0.44516295
858;32.03236835;0.43368768
860;31.63222504;0.325234311
862;31.58249457;0.384348043
864;30.82582306;0.395700173
866;31.15650547;0.375040703
868;30.26998749;0.385061397
870;30.52658185;0.394875654
872;30.57644404;0.36579203
874;29.65773314;0.384927384
876;29.72079925;0.384273584
878;29.10604841;0.384908682
880;29.0652481;0.405158204
882;28.86793008;0.324788114
884;27.80602259;0.34524479
886;28.3640176;0.355162203
888;27.96990212;0.315483611
890;28.19975796;0.316773388
892;27.88535686;0.266680732
894;26.93363947;0.236578172
896;27.47354337;0.285893092
898;25.90679916;0.294598892
900;26.38490087;0.363481036
902;25.96807819;0.453551633
904;26.17091413;0.424753944
906;25.76450054;0.394811673
908;25.31539732;0.335703706
910;25.22746249;0.37499404
912;24.52412625;0.33501881
914;24.33605372;0.335408572
916;24.17395017;0.365003446
918;23.66989633;0.276098377
920;24.26937064;0.325431291
922;23.45540506;0.324309967
924;23.34574274;0.334933117
926;22.90435983;0.285787314
928;22.57436406;0.314220368
930;22.1416443;0.3437791
932;22.20732082;0.413918344
934;22.08921561;0.433042852
936;21.79000541;0.444301707
938;21.48882463;0.424554964
940;21.84180188;0.373918555
942;20.51064184;0.374553336
944;20.97589305;0.275986669
946;20.09437032;0.373625494
948;20.1490335;0.344446492
950;20.35013899;0.374910156
952;20.50614963;0.335077506
954;19.75884269;0.36506379
956;18.8586625;0.365239954
958;19.44316664;0.325435239
960;18.54097325;0.326064873
962;18.53113576;0.344543532
964;18.06649529;0.364830397
966;17.70326889;0.364988862
968;18.21349613;0.345092413
970;17.61063815;0.364265762
972;17.03545413;0.354437897
974;17.05825038;0.37465368
976;16.54757506;0.374167145
978;16.48669999;0.355037002
980;15.89444035;0.295247838
982;16.41446619;0.334967564
984;16.15983719;0.286274317
986;15.59888865;0.315612494
988;15.60878907;0.335598682
990;15.04250002;0.335030488
992;13.85343281;0.325680163
994;13.73954451;0.315823176
996;12.92272754;0.344717089
998;13.42054755;0.374136867
1000;12.71792624;0.384034772
1002;12.2283737;0.394622002
1004;11.77394857;0.345243309
1006;11.05104584;0.404193289
1008;11.15880339;0.392925913
1010;10.31162441;0.384471281
1012;9.399820014;0.38430102
1014;10.30697922;0.384336533
1016;8.578603063;0.403249488
1018;8.477148321;0.471955848
1020;8.140122613;0.45233753
1022;8.232496951;0.403329858
1024;8.606260011;0.453185924
1026;7.970550687;0.413718815
1028;8.418250623;0.413595076
1030;7.915071606;0.443091918
1032;7.987400399;0.432352109
1034;8.030264541;0.41257627
1036;7.950062153;0.383297613
1038;8.898234663;0.373489887
1040;8.023858675;0.433225926
1042;8.120526337;0.393063696
