Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood;;;;;;;ISO 5660;EUREFIC;CS000001_EUREFIC2;;1;2003-07-24 14:53:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
25;143;263;72.5;146;132;61.6;11.8;NA;NA;44;0.01;12;600
VectorData
Time (s);HRR (kW/m2);MLR (g/s);SEA (m2/kg)
456.942; 160.689; 0.1424; 55.3734
458.958; 162.351; 0.1386; 54.5476
461.4; 165.104; 0.14; 53.8263
463.44; 164.066; 0.1411; 54.9349
465.96; 167.939; 0.1445; 56.1371
468.282; 170.773; 0.147; 57.1916
470.28; 169.51; 0.1474; 58.9993
472.242; 173.935; 0.1495; 61.4528
474.24; 178.11; 0.1518; 63.9573
476.718; 180.142; 0.1539; 66.4999
478.722; 181.428; 0.1553; 69.9108
480.72; 183.512; 0.1573; 73.7325
482.718; 188.72; 0.1614; 77.2729
484.722; 191.669; 0.1647; 79.9287
487.182; 195.8; 0.1647; 83.7042
489.48; 197.067; 0.1678; 85.985
491.502; 201.187; 0.1693; 87.8073
493.5; 208.563; 0.1729; 89.2501
495.48; 209.022; 0.1742; 92.6589
498.042; 213.196; 0.1776; 93.488
500.022; 218.826; 0.1804; 94.1424
502.02; 223.758; 0.1843; 95.4744
503.982; 229.344; 0.1844; 96.5135
506.04; 232.38; 0.187; 96.0814
508.542; 231.351; 0.1904; 96.1739
510.54; 234.018; 0.1925; 95.5079
512.838; 235.25; 0.1948; 94.033
514.842; 233.675; 0.1948; 92.9189
516.822; 234.34; 0.1945; 92.9088
521.34; 245.049; 0.2033; 93.2508
523.32; 244.675; 0.186; 94.9285
525.318; 241.622; 0.191; 94.9982
527.322; 241.946; 0.1908; 96.1394
529.782; 243.059; 0.1968; 94.6475
531.762; 245.854; 0.178; 94.7832
533.76; 249.638; 0.1854; 95.4754
537.342; 246.775; 0.1841; 98.1791
540.198; 246.384; 0.1823; 99.395
542.16; 245.748; 0.1826; 101.739
544.2; 244.913; 0.1808; 104.01
546.18; 237.667; 0.1778; 106.215
548.22; 234.99; 0.1743; 108.772
550.698; 228.107; 0.1712; 112.04
552.702; 226.941; 0.1668; 116.029
554.7; 218.555; 0.1626; 118.232
556.68; 218.102; 0.1566; 120.523
558.678; 215.456; 0.1507; 121.079
561.498; 212.91; 0.1444; 122.275
563.502; 207.78; 0.1365; 124.276
565.482; 198.321; 0.1319; 125.265
567.462; 192.808; 0.1267; 126.633
569.442; 185.734; 0.1198; 128.742
571.962; 183.907; 0.1145; 131.533
