Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyamide PA12;;;;E2A-2;Cable containment;;ISO 5660;TRANSFEU;;TRANSFEU;1;2012-06-20 13:20:13
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;22;473.11;86.1;;;;;28.68;;848.64;;225.26;0.00943;;2011-06-18;c_EW_E2A-2_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s))
666;42.79860213;0.188273209
668;41.93232481;0.168807143
670;42.77953542;0.19854108
672;42.4789833;0.178686972
674;42.39598566;0.139016513
676;42.41985283;0.208098469
678;42.44588574;0.13895972
680;41.73891352;0.109221684
682;42.32246299;0.198199179
684;42.1413797;0.13896682
686;42.27378665;0.099449488
688;41.87234849;0.158838026
690;41.7935722;0.119116352
692;41.76303302;0.119062821
694;41.83406993;0.138926481
696;41.7738983;0.168774021
698;41.90360109;0.218346513
700;41.32978691;0.148857409
702;41.38595428;0.198871725
704;41.02242754;0.148549314
706;41.08407923;0.138675283
708;41.4915754;0.227854914
710;41.04908098;0.099249007
712;40.67141058;0.12929495
714;40.37024515;0.089310414
716;40.04437286;0.049557177
718;39.78112101;0.089145938
720;40.27771582;0.069630316
722;39.83235608;0.079419487
724;39.39066619;0.12927065
726;39.95533726;0.099225265
728;39.46012235;0.069328134
730;38.87879818;0.069347562
732;38.66332979;0.128752249
734;39.47491267;0.069457082
736;39.05540297;0.059394638
738;39.23283925;0.029706777
740;38.99661782;0.059620273
742;38.70077597;0.059631841
744;38.42409938;0.029753638
746;38.45175549;0.029755158
748;38.1541738;0.049598294
750;38.42295435;0.019830198
752;38.38861192;0.059507275
754;38.70250347;0.098998849
756;38.79859482;0.079214478
758;39.05675697;0.059499111
760;38.74429639;0.019902619
762;38.36909455;0.049745111
764;38.69858775;0.119409658
766;37.96434164;0.029804383
768;38.18697816;-0.03958323
770;38.06233497;0.039596367
772;37.23513218;0
774;37.14499945;-0.118749689
776;37.25929949;-0.108809228
778;36.68143258;-0.059375649
780;37.16694328;-0.069284128
782;36.7994116;-0.079144243
784;36.7722293;-0.128832082
786;37.39237233;-0.059465531
788;37.35493944;-0.069248067
790;36.62209733;-0.089211081
792;37.3970902;-0.197843552
794;36.84512549;-0.217539911
796;36.08051564;-0.198211348
798;36.79189655;-0.148912749
800;36.6438131;-0.148952909
802;36.22994458;-0.14871024
804;36.54792633;-0.089203373
806;36.37381257;-0.109162562
808;35.77307885;-0.198174042
810;35.92840169;-0.168721381
812;35.46146589;-0.188215405
814;35.68733241;-0.198475091
816;35.70663766;-0.159000281
818;35.740033;-0.079331379
820;36.19056206;-0.129154968
822;35.94062153;-0.128859757
824;35.610472;-0.128741482
826;35.24047005;-0.099190936
828;35.6601293;-0.198771654
830;35.11185564;-0.158319959
832;34.70920516;-0.10911065
834;34.87093909;-0.128948951
836;34.51676972;-0.177565347
838;34.66992378;-0.118364714
840;35.13928762;-0.098986959
842;35.1222483;-0.069290871
844;34.4407734;-0.04949348
846;34.91570996;-0.059614214
848;34.9816568;-0.0993671
850;34.53073606;-0.059523444
852;34.76154033;-0.049585204
854;34.81588075;-0.148763185
856;34.1154336;-0.158430146
858;34.12973445;-0.158971237
860;34.14522198;-0.128967463
