Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polypropylene floor covering 8.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:04:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;582;36.7;143.2;98.3;17.4;18.23;11.2;387;205;0.0088;8.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
;;;;
Time (s);HRR (kW/m);SEA (m/kg);MLR (g/s);SPR (m/s)
410;22.32279432;0;-0.016272625;-0.000654946
412;20.66680317;-32.57947389;0.023301958;-0.000759166
414;20.88565712;5.487648804;0.049652583;0.000272476
416;21.17325144;-38.75252063;0.028300833;-0.001096729
418;21.52430844;0;-0.002801292;-0.000540907
420;21.16726178;-39.30505655;0.01427325;-0.000561011
422;21.48857553;-11.17191691;0.044956708;-0.000502253
424;20.71677493;-58.66014962;0.015348875;-0.000900367
426;21.28256733;0;-0.029835083;-0.000339171
428;21.8151304;-45.22557902;0.014213042;-0.000642793
430;21.04858455;-25.9066843;0.029431;-0.00076246
432;20.13401527;-4.100911453;0.035379;-0.000145086
434;21.26620466;0;-0.002683375;-0.000626452
436;19.54730119;0;-0.027733792;-0.000483272
438;19.72981243;-17.2272154;0.042780042;-0.000736981
440;20.30726028;8.023700326;0.052030542;0.000417477
442;18.98969963;-51.01612855;0.016449917;-0.000839211
444;19.5654925;0;-0.034355708;-0.000838244
446;20.57964428;-56.1020064;0.018274667;-0.001025245
448;19.66240257;-2.678230049;0.048875042;-0.000130899
450;19.70051118;0;-0.016206333;-0.00044948
452;20.12296092;0;-0.021816958;-0.00020451
454;20.49743797;-41.40983387;0.011719833;-0.000485316
456;19.98434401;-4.199387009;0.025661542;-0.000107763
458;18.58352707;38.58819129;0.016008792;0.00061775
460;17.45863195;0;-0.0013425;0.000131496
462;17.36136277;0;-0.014754583;-0.000583998
464;18.40953219;-33.4066277;0.019863208;-0.000663563
466;17.76828831;-8.362189378;0.058592125;-0.000489958
468;18.14708314;-4.632985491;0.036097792;-0.000167241
470;17.07890002;0;-0.005226708;-0.000517163
472;17.75058024;0;-0.000548208;-0.000118754
474;18.06250816;0;-0.029193792;-0.000662677
476;17.98723091;0;-0.000196167;-0.000202305
478;18.64867721;1.695528203;0.030576875;5.18E-05
480;19.63798884;0;-0.003060417;-0.001134325
482;19.36967927;0;-0.003131583;-7.75E-06
484;18.41047454;-48.58886693;0.00605625;-0.000294266
486;18.75534514;-18.90025662;0.033536042;-0.00063384
488;18.49227419;-11.553484;0.018698667;-0.000216035
490;18.97185845;-44.20310019;0.02052125;-0.000907103
492;19.50105745;-129.4254879;0.006361083;-0.000823286
494;19.58269727;0;-0.005553667;-0.000226684
496;19.3987171;14.03704733;0.015994667;0.000224518
498;20.14026591;12.03019421;0.036824292;0.000443003
500;19.53333443;-12.81912263;0.030346792;-0.000389019
502;18.36280483;0;-0.000683083;-9.14E-05
504;19.39401282;0;-0.036053625;-0.000705443
506;17.6195953;0;-0.00225075;-0.000370485
508;17.20726671;-12.14826377;0.056171125;-0.000682382
510;17.06076493;-156.1953069;0.003299;-0.000515288
512;16.65178521;0;-0.0244145;-0.000427229
514;16.39892594;-45.74513736;0.01992225;-0.000911346
