Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:24:31
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;9;397.03;92.85;;;39.41;39.07;21.97;;1407;;263.65;0.0088;Melting of the surface. Shrinkage. End flame at 346s.;2010-11-09;c_LSFIRE_F1A-2-2_75c;28.0;2;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
875;13.97108448;1.470583587;0.05910038
877;13.58393351;1.540254507;0.05681567
879;13.05943196;1.537623503;0.078805711
881;13.15996766;1.815115145;0.078805711
883;13.05289203;1.498587846;0.059814927
885;13.2738852;1.447452482;0.04895649
887;13.03673958;1.440764502;0.050101793
889;12.97110723;1.40395332;0.033136446
891;13.05809439;1.481464746;0.056387973
893;12.61779678;1.435075171;0.077057602
895;12.52610833;1.435075171;0.078487035
897;12.78043141;1.387132258;0.060435786
899;12.9429336;0.679040762;0.069986301
901;12.9574115;1.591405986;0.073998039
903;12.60455241;1.345702653;0.066406646
905;12.21014236;1.393622692;0.088246441
907;12.19534653;1.428616968;0.092517968
909;12.41849377;1.356981503;0.085763016
911;12.55675734;1.326769406;0.086147202
913;12.49121665;1.319555849;0.10925186
915;12.24455288;1.332083399;0.09422534
917;11.8731205;1.332083399;0.103539631
919;12.19148498;1.295396983;0.099097506
921;12.1998106;1.277630299;0.071450056
923;12.49746734;0.482508247;0.075288333
925;12.45507584;1.3396515;0.093696235
927;11.89524497;1.29074217;0.103631771
929;11.81332438;1.290771802;0.130770682
931;11.8133837;1.252984846;0.133193257
933;11.74972361;1.243258813;0.091255834
935;12.11318394;1.214124381;0.076222487
937;11.63485427;1.229756007;0.074188407
939;11.61930273;1.251897821;0.067789328
941;11.47900842;1.247611068;0.072782721
943;11.66325972;1.265075715;0.089086104
945;11.93137024;1.204667115;0.087990736
947;11.56885153;1.117954713;0.088159274
949;11.63048609;1.186656617;0.080236794
951;11.4378847;1.178675229;0.084247278
953;11.42496123;1.182843454;0.072449995
955;11.44403443;1.166932144;0.054327159
957;11.32898289;1.106957626;0.032671347
959;11.31114816;1.085636669;0.031349176
961;11.04114565;1.134118675;0.052798089
963;10.97136164;1.111467399;0.056619908
965;11.04533394;1.155833165;0.068826436
967;11.0856032;1.094278277;0.068826436
969;11.30270491;1.05425125;0.075133805
971;11.03325898;1.05425125;0.054724234
973;11.0530141;1.085616394;0.079920862
975;10.820199;1.086976344;0.07336627
977;10.67079595;1.106930594;0.087101403
979;10.67350467;1.106930594;0.065920723
981;11.00942172;1.042390158;0.083451736
983;10.58123173;1.042974479;0.099242265
985;10.71794586;1.042974479;0.119868033
987;10.37344147;1.007664128;0.123702563
989;10.59345151;0.633291132;0.123702563
991;10.72951311;0.985026369;0.096648547
993;10.59630971;0.97671955;0.07469981
995;10.57555131;0.866453398;0.069992274
997;10.16153374;0.866453398;0.071580838
999;10.27073106;0.948763118;0.108019137
1001;9.825759219;0.948194393;0.120289115
1003;10.24891855;0.937647503;0.097638026
1005;10.50020969;0.94331708;0.098639312
1007;10.31821465;0.900888827;0.121358946
1009;10.21805358;0.900888827;0.117124265
1011;10.09208025;0.969613604;0.119010995
1013;9.90148369;0.932558608;0.118796131
1015;9.757013407;0.912351707;0.103132917
1017;10.18478867;0.857426055;0.065683234
1019;10.30092875;0.84116696;0.056796252
1021;10.09430952;1.130453152;0.079846037
1023;9.929766283;0.900372607;0.090326516
1025;9.777556425;0.880145432;0.102910276
1027;9.88650173;0.876745557;0.108160356
1029;10.24254439;0.811496035;0.113028649
1031;10.00987112;0.827800358;0.121754597
1033;9.696014346;0.817867421;0.129423705
1035;9.663224527;1.022666206;0.142055781
1037;9.340474536;1.022666206;0.138311542
1039;9.618653853;0.812480647;0.110126613
1041;9.521875312;0.764849649;0.076074279
1043;9.578728124;1.022199893;0.079213598
1045;9.694039817;0.7776704;0.074815482
1047;9.353105123;0.84417798;0.117023207
1049;9.115357629;0.826699817;0.12978566
1051;9.200240462;0.78388063;0.128318531
1053;9.135980473;0.722414638;0.138492301
1055;9.436881552;0.74603493;0.149027064
1057;9.2318601;0.748037944;0.143368031
1059;9.086004707;0.778523488;0.16682218
1061;9.06113069;0.781176846;0.187017234
1063;8.910475351;0.762566431;0.165272606
1065;9.162479511;0.762566431;0.14445828
1067;8.869990911;0.762566431;0.136969053
1069;8.866399871;0.705712103;0.1317206
1071;8.854363922;0.710405906;0.128340719
1073;8.742520598;0.734676021;0.139465434
1075;8.376379359;0.700377835;0.129109982
1077;8.8971043;0.700377835;0.112398583
1079;8.754330261;0.627966741;0.100084084
1081;8.900730735;0.662577362;0.106319262
1083;8.725122656;0.688621234;0.109615968
1085;8.63229175;0.688621234;0.124479547
1087;8.505387488;0.675206805;0.121342981
1089;8.294719526;0.51056969;0.118020522
1091;8.389529202;0.629113029;0.085779533
1093;8.542170266;0.605982444;0.058184932
1095;8.270799299;0.580522893;0.064076249
1097;8.390598162;0.6320128;0.068657679
1099;7.811189907;0.615864955;0.055122219
1101;7.946118074;0.615864955;0.061023225
1103;8.062649613;0.569659929;0.070788525
1105;8.269531636;0.542706304;0.076707897
1107;8.079133307;0.565373696;0.102755823
1109;7.723693319;0.536793953;0.127678515
1111;7.615130555;0.536793953;0.126774899
1113;7.700115161;0.567791038;0.115421034
1115;7.880224164;0.522235835;0.097612064
1117;7.963457533;0.522235835;0.074199122
1119;7.890656757;0.500553576;0.099041564
1121;7.641536973;0.553534957;0.11594454
1123;7.451733067;0.553534957;0.145064176
1125;7.386049165;0.529813293;0.143199399
1127;7.269505466;0.505890964;0.120837465
1129;7.381722527;0.432133956;0.082972733
1131;7.772570154;0.452538403;0.078476527
1133;7.291731547;0.452538403;0.075696726
1135;7.334401573;0.452538403;0.091302412
1137;7.030591945;0.517738539;0.100969497
1139;6.968978458;0.445045682;0.087273366
1141;7.170097118;0.45075113;0.071931053
1143;7.088717556;0.501449812;0.057861964
1145;7.261397821;0.450130419;0.045826111
1147;6.996667361;0.449739485;0.069591684
1149;6.732269388;0.456545473;0.087123041
1151;6.644319103;0.478427878;0.087214643
1153;6.57458919;0.386720155;0.074943898
1155;6.50606122;0.353604128;0.071161259
1157;6.740072825;0.362406892;0.054043673
1159;6.490856916;0.32170249;0.057490537
1161;6.518242158;0.372105893;0.076233411
1163;6.491152354;0.365986638;0.083698367
1165;6.373562037;0.409878813;0.069819704
1167;6.11432865;0.338782961;0.058239295
1169;6.074077626;0.296131689;0.041448597
1171;6.393149177;0.354509721;0.048143288
1173;6.28177943;0.3268101;0.058092628
1175;5.850910491;0.531378067;0.06574962
1177;5.613817499;0.32857034;0.068009603
1179;5.599726333;0.287656955;0.082756795
1181;5.621137969;0.318453374;0.059929825
1183;5.693217854;0.260903476;0.060874898
1185;5.685199315;0.281123893;0.090563898
1187;5.717962094;0.271006926;0.112107756
1189;5.747007465;0.305696046;0.112472014
1191;5.418769346;0.305541648;0.11972639
1193;5.233505189;0.296798147;0.114344526
1195;5.009971463;0.341134281;0.076998534
1197;5.215292742;0.243011505;0.060598354
1199;5.36572994;0.225126812;0.053437706
