Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-09 16:21:30
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;10;439.39;96.43;;;40.20;39.87;21.35;;1377;;293.44;0.0088;Melting of the surface. Shrinkage. End flame at 374s.;2010-11-08;c_LSFIRE_F1A-2-2_75b;28.0;3;25;;;;;;;;;0.65;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/s)
447;31.25312717;3.820122032;0.07581216
449;31.08114363;3.86897275;0.050795198
451;31.36081062;3.86897275;0.064593775
453;30.92521253;3.769174047;0.064593775
455;30.99514509;3.828444088;0.071458915
457;30.76797085;3.79872792;0.05747599
459;31.20432794;3.837182351;0.05109152
461;31.08140567;3.64779276;0.037292943
463;31.50876702;3.696934562;0.037292943
465;30.86961793;3.714587518;0.039955953
467;30.7633159;3.673007081;0.029719314
469;30.48567048;3.747065314;0.032783155
471;30.35267188;3.680062191;0.032783155
473;30.87472231;3.698324014;0.032783155
475;29.73204182;3.693531607;0.025035799
477;29.69197891;3.621669065;0.015344182
479;29.76071726;3.710224931;0.012280341
481;29.90675248;3.611332984;0.012280341
483;29.90990505;3.525122015;0.030350845
485;29.23313755;3.979477671;0.031536742
487;28.94740268;3.585225518;0.066492305
489;28.26581972;3.591804214;0.066492305
491;29.23534752;3.633242774;0.066492305
493;29.76029657;3.633242774;0.048421801
495;28.57905862;3.484361952;0.059134105
497;28.56936527;3.16866255;0.032845167
499;28.35441762;3.459907799;0.05440627
501;28.18658818;3.471643803;0.05440627
503;28.14923654;3.471643803;0.05440627
505;28.26376145;3.411368582;0.042473713
507;28.10108406;3.40952261;0.034121162
509;27.24087192;3.392263349;0.013742285
511;27.79690081;3.392263349;0.013742285
513;27.53705604;3.522376617;0.013742285
515;27.06494024;3.334974875;0.033228142
517;26.53016477;3.225669887;0.034496661
519;26.08607603;3.35537323;0.040240426
521;26.99402347;3.322597544;0.040240426
523;26.10009108;3.295359251;0.040240426
525;26.6189286;3.249561245;0.025747349
527;25.85024313;3.267869139;0.024087229
529;26.33416627;3.275966076;0.02195082
531;26.27396865;3.275966076;0.02195082
533;26.23201525;3.252409256;0.02195082
535;26.00217851;3.192024616;0.02393987
537;26.00641508;3.236654624;0.035009354
539;25.83215217;3.250259112;0.055279485
541;25.49565794;3.222984171;0.055279485
543;25.3935229;3.222984171;0.055279485
545;25.41458831;3.117341286;0.046551217
547;24.84159862;3.126070126;0.036756747
549;24.67379137;3.14588265;0.032664589
551;24.68647975;3.174318783;0.04716297
553;24.70315265;3.089805104;0.04716297
555;24.86856075;3.087988973;0.04716297
557;24.36105706;3.100885646;0.0613264
559;23.80679814;3.100885646;0.051232848
561;24.14803383;3.229576479;0.046512714
563;24.33419845;3.018277098;0.05154222
565;24.32104197;3.010299002;0.05154222
567;24.62741763;2.948640611;0.026545152
569;23.83589405;2.948640611;0.023785882
571;23.93408926;2.959767748;0.05946379
573;23.22777882;2.982153952;0.057068039
575;23.66739097;2.927617159;0.057068039
577;23.92136927;2.901510217;0.056204644
579;23.62331437;2.914013195;0.094050814
581;23.20186014;2.896597922;0.072153863
583;23.78250187;2.951879176;0.079272763
585;23.8886258;3.476727293;0.086747039
587;23.74232832;2.849824576;0.086747039
589;23.10364998;2.816178781;0.061967989
591;22.79869463;2.883701772;0.081677828
593;23.06337924;2.905105307;0.0762385
595;22.68044771;2.835082454;0.068764224
597;23.3214889;2.800103749;0.068764224
599;22.55244331;2.793375846;0.073475286
601;22.48776126;3.199661893;0.06107011
603;22.55413427;2.80886243;0.056756782
605;22.44511358;2.736636556;0.056756782
607;22.10463824;2.716847068;0.056756782
609;22.02742389;2.716847068;0.030863867
611;21.87532747;2.708660607;0.038123116
613;21.94872253;2.747121844;0.063082354
615;22.38423869;2.716066483;0.063082354
617;21.32528063;3.046709043;0.075833922
619;21.6605343;2.643109236;0.117488639
621;21.59408795;2.608524749;0.129128349
623;21.84151744;2.662525446;0.115463234
625;21.54882967;2.611114659;0.115463234
627;21.10290946;2.560858259;0.141352068
629;20.97877036;2.60036813;0.122574234
631;21.04772914;2.587626945;0.092259649
633;21.23947169;2.244623284;0.080965526
635;21.31660616;2.244623284;0.084842122
637;20.6720622;2.509030218;0.061972741
639;20.78588022;2.509030218;0.088558302
641;20.47101631;2.528902948;0.104555913
643;20.75219069;2.463976673;0.104555913
645;20.54974157;2.410987963;0.112473488
647;20.63031345;2.450021943;0.148008794
649;20.48337113;2.517901458;0.131408776
651;20.13628813;2.433037012;0.095962924
653;20.44417313;2.386703433;0.097056036
655;20.26846019;2.391585364;0.09537903
657;19.83626555;2.386048496;0.079412679
659;19.81851177;2.377557863;0.063921929
661;19.99517282;2.35687523;0.063921929
663;20.00392797;2.321688159;0.071600575
665;19.78078326;2.330648399;0.091456583
667;19.63393113;2.330648399;0.097971844
669;19.47754206;2.330648399;0.083750577
671;19.67265571;2.360500162;0.083750577
673;19.93639886;2.360500162;0.100634164
675;19.7964013;2.268199999;0.093827938
677;19.19149973;2.25585251;0.071437503
679;19.34630475;2.333602163;0.068287093
681;19.442301;2.301154209;0.068287093
683;19.21924328;2.230304176;0.054403766
685;18.72594015;2.239860195;0.056614314
687;18.84177361;2.250242871;0.037149511
689;19.07861952;2.276194848;0.038546992
691;18.88133343;2.217020613;0.038546992
693;18.78748118;2.795757391;0.063536045
695;18.46504992;2.140537906;0.071674402
697;18.89363044;2.140537906;0.072010555
699;18.6765804;2.149409146;0.070613074
701;18.24795092;2.121611721;0.092859634
703;18.30868914;2.106154979;0.110442817
705;18.80467398;2.204326023;0.083893564
707;18.28824877;2.144139802;0.083557411
709;18.04670454;2.098706173;0.104556821
711;17.9015548;2.101653132;0.112192206
713;18.07804991;2.114334634;0.097852719
715;18.0453435;2.095080718;0.090886122
717;17.89336256;2.195408712;0.090886122
719;17.45644052;1.876094325;0.092598564
721;17.33628591;2.028183348;0.089669431
723;18.04181249;2.075760838;0.049664665
725;17.99534676;2.355819791;0.049664665
727;17.43276176;1.97860178;0.078784131
729;16.9168995;1.98747302;0.085117263
731;17.63560607;2.0172651;0.05816445
733;17.4625685;1.980374981;0.05816445
735;17.37208514;1.948171515;0.08653959
737;17.32991537;1.907203086;0.075978965
739;17.29705848;1.941079758;0.061670959
741;17.08988687;1.958875115;0.064181002
743;17.35740608;1.87641525;0.06972017
745;16.68040042;1.87415307;0.053954585
747;16.96349856;2.194770003;0.052691235
749;16.73922514;1.909554789;0.053792148
751;17.17239713;1.852368404;0.051282105
753;16.72922894;1.842574701;0.045742937
755;16.79034507;1.837662929;0.070344176
757;16.54333425;1.685662906;0.053048684
759;16.91683146;1.875594876;0.03993476
761;17.18500218;1.841145984;0.03993476
763;16.395572;1.8179326;0.048489948
765;16.26657141;1.843765212;0.038905379
767;16.2540886;1.836428966;0.049162211
769;16.52400631;1.835142649;0.046438245
771;16.89912232;1.862827515;0.046438245
773;16.34000818;1.749123816;0.049535086
775;15.92843222;1.741545699;0.032486568
777;15.87434463;1.741545699;0.034499289
779;15.88433428;2.187155762;0.036561762
781;16.25483186;1.693402795;0.036561762
783;15.75725105;1.722629461;0.042403087
785;15.66859616;1.682821701;0.057848586
787;15.66825657;1.682821701;0.045579033
789;15.8856317;1.695516292;0.053783596
791;15.76695121;1.645147332;0.068960647
793;15.61539924;1.670546983;0.074453196
795;15.63796518;1.674744135;0.053793322
797;15.56508752;2.174520855;0.053793322
799;15.51914136;1.618385452;0.043526286
801;15.60345783;1.598582352;0.057319518
803;14.9497702;1.604208745;0.035815127
805;15.10479563;1.64988058;0.051585306
807;15.22326929;1.617968721;0.059261957
809;15.43959112;1.583691548;0.059261957
811;15.5392628;1.560567688;0.030291675
813;15.14099324;1.551005386;0.043301016
815;15.00525059;1.55333353;0.053240914
817;15.22264394;1.562264453;0.045564263
819;15.09962562;1.536811925;0.050298004
821;15.07060929;1.488288938;0.050298004
823;14.82700652;1.519695065;0.03580715
825;14.58035391;1.487895242;0.044213437
827;14.37792401;1.52322419;0.081876932
829;14.72729615;1.468330349;0.077143192
831;15.1137395;1.445921109;0.077143192
833;14.89116642;1.452744818;0.090148693
835;14.51230172;1.453488756;0.075039173
837;13.96382167;1.450095226;0.079878855
839;14.34057689;1.432227621;0.079878855
841;14.32590936;1.436305931;0.079878855
843;14.30413222;1.382447111;0.066873353
845;14.58161753;1.376553194;0.075234426
