Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-2;Curtain and sunblind in driver's cab;;ISO 5660;TRANSFEU;sample prepared according ISO 5660 like test a, but a grid is inserted on the top to maintain the sample.;TRANSFEU;1;2011-03-28 15:44:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;8;103.6;3.0;;;3.1;2.7;9.7;;214;;68.7;0.00884;Retracting;;C_LNE_IN8-2_1b;0.74;;;;;;;;;;0.30;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
456;5.9;0.0;0.0
458;6.0;0.0;0.0
460;5.5;0.0;0.0
462;4.0;0.0;0.0
464;4.0;0.0;0.0
466;3.3;0.0;0.0
468;1.9;0.0;0.0
470;1.0;0.0;0.0
472;1.9;0.0;0.0
474;3.2;0.0;0.0
476;4.8;0.0;0.0
478;6.1;0.0;0.0
480;6.1;0.0;0.0
482;7.0;0.0;0.0
484;7.7;0.0;0.0
486;6.3;0.0;0.0
488;4.7;0.0;0.0
490;3.7;0.0;0.0
492;2.0;0.0;0.0
494;1.2;0.0;0.0
496;1.1;0.0;0.0
498;0.1;0.0;0.0
500;0.0;0.0;0.0
502;0.0;0.0;0.0
504;0.0;0.0;0.0
506;0.0;0.0;0.0
508;0.0;0.0;0.0
510;0.0;0.0;0.0
512;0.0;0.0;0.0
514;0.0;0.0;0.0
516;0.0;0.0;0.0
518;1.0;0.0;0.0
520;1.3;0.0;0.0
522;0.9;0.0;0.0
524;0.2;0.0;0.0
526;0.0;0.0;0.0
528;0.0;0.0;0.0
530;0.0;0.0;0.0
532;0.0;0.0;0.0
534;0.0;0.0;0.0
536;0.0;0.0;0.0
538;0.0;0.0;0.0
540;0.0;0.0;0.0
542;0.7;0.0;0.0
544;1.1;0.0;0.0
546;1.4;0.0;0.0
548;2.7;0.0;0.0
550;2.9;0.0;0.0
552;2.7;0.0;0.0
554;3.1;0.0;0.0
556;1.3;0.0;0.0
558;1.2;0.0;0.0
560;0.8;0.0;0.0
562;0.4;0.0;0.0
564;0.0;0.0;0.0
566;0.0;0.0;0.0
568;0.0;0.0;0.0
570;0.0;0.0;0.0
572;0.7;0.0;0.0
574;0.0;0.0;0.0
576;0.0;0.0;0.0
578;0.0;0.0;0.0
580;0.0;0.0;0.0
582;0.0;0.0;0.0
584;0.0;0.0;0.0
586;0.0;0.0;0.0
588;0.0;0.0;0.0
590;0.0;0.0;0.0
592;0.0;0.0;0.0
594;0.0;0.0;0.0
596;0.0;0.0;0.0
598;0.0;0.0;0.0
600;0.0;0.0;0.0
602;0.0;0.0;0.0
604;0.0;0.0;0.0
606;0.0;0.0;0.0
608;0.0;0.0;0.0
610;0.0;0.0;0.0
612;0.3;0.0;0.0
614;0.8;0.0;0.0
616;0.7;0.0;0.0
618;1.1;0.0;0.0
620;0.7;0.0;0.0
622;0.0;0.0;0.0
624;0.0;0.0;0.0
626;0.0;0.0;0.0
628;0.0;0.0;0.0
630;0.0;0.0;0.0
632;0.0;0.0;0.0
634;0.0;0.0;0.0
636;0.0;0.0;0.0
638;0.0;0.0;0.0
640;0.0;0.0;0.0
642;0.0;0.0;0.0
644;0.0;0.0;0.0
646;0.0;0.0;0.0
648;0.0;0.0;0.0
650;0.0;0.0;0.0
652;0.0;0.0;0.0
654;0.0;0.0;0.0
656;0.0;0.0;0.0
658;0.1;0.0;0.0
660;0.3;0.0;0.0
662;0.0;0.0;0.0
664;0.0;0.0;0.0
666;0.0;0.0;0.0
668;0.0;0.0;0.0
670;0.0;0.0;0.0
672;0.0;0.0;0.0
674;0.0;0.0;0.0
676;0.0;0.0;0.0
678;0.0;0.0;0.0
680;0.0;0.0;0.0
682;0.0;0.0;0.0
684;0.0;0.0;0.0
686;0.0;0.0;0.0
688;0.0;0.0;0.0
690;0.0;0.0;0.0
692;0.0;0.0;0.0
694;0.0;0.0;0.0
696;0.0;0.0;0.0
698;0.0;0.0;0.0
700;0.0;0.0;0.0
702;0.0;0.0;0.0
704;0.0;0.0;0.0
706;0.1;0.0;0.0
708;0.2;0.0;0.0
710;0.9;0.0;0.0
712;2.3;0.0;0.0
714;2.0;0.0;0.0
716;2.3;0.0;0.0
718;2.5;0.0;0.0
720;2.1;0.0;0.0
722;3.9;0.0;0.0
724;5.9;0.0;0.0
726;6.6;0.0;0.0
728;6.2;0.0;0.0
730;6.2;0.0;0.0
732;4.6;0.0;0.0
734;4.5;0.0;0.0
736;4.1;0.0;0.0
738;3.2;0.0;0.0
740;2.0;0.0;0.0
742;1.4;0.0;0.0
744;0.2;0.0;0.0
746;0.9;0.0;0.0
748;0.0;0.0;0.0
750;0.0;0.0;0.0
752;0.5;0.0;0.0
754;0.0;0.0;0.0
756;0.0;0.0;0.0
758;0.0;0.0;0.0
760;0.0;0.0;0.0
762;0.0;0.0;0.0
764;0.0;0.0;0.0
766;0.0;0.0;0.0
768;0.0;0.0;0.0
770;0.0;0.0;0.0
772;0.5;0.0;0.0
774;0.0;0.0;0.0
776;0.0;0.0;0.0
778;0.0;0.0;0.0
780;0.0;0.0;0.0
782;0.0;0.0;0.0
784;0.0;0.0;0.0
786;0.9;0.0;0.0
788;0.6;0.0;0.0
790;0.3;0.0;0.0
792;0.8;0.0;0.0
794;0.8;0.0;0.0
796;0.7;0.0;0.0
798;0.8;0.0;0.0
800;0.1;0.0;0.0
802;0.0;0.0;0.0
804;0.1;0.0;0.0
806;0.0;0.0;0.0
808;0.0;0.0;0.0
810;0.0;0.0;0.0
812;0.0;0.0;0.0
